"Depth","Age","TRSH"
52,521,79.8627002288329
62,628,86.2232779097387
67,682,84.0816326530612
72,736,76.6483516483516
77,790,70.2179176755448
82,844,76.1229314420804
83,9819,77.4193548387097
84,9880,83.5365853658537
85,9943,88.8888888888889
87,10075,86.4321608040201
88,10143,90.9657320872274
89,10213,89.4894894894895
90,10284,87.7450980392157
91,10356,81.7977528089888
93,10503,90.4282115869018
96,10729,85.8156028368794
97,10806,85.2422907488987
99,10959,85.1941747572816
100,11036,88.013698630137
101,11113,86.0576923076923
103,11268,90.7730673316708
104,11344,87.3817034700315
105,11421,88.1235154394299
106,11497,89.5238095238095
108,11648,88.75
109,11722,97.7443609022556
110,11797,90.7246376811594
112,11943,93.7965260545906
113,12014,93.9481268011527
114,12086,89.4495412844037
121,12556,90.7035175879397
126,12859,93.6746987951807
131,13132,69.4915254237288
134,13281,75.2525252525252
139,13504,73.8154613466334
141,13584,40.4802744425386
142,13622,59.8522167487685
147,13795,51.4705882352941
152,13940,54.8387096774194
156,14037,54.6808510638298
161,14138,43.0555555555556
167,14232,28.3154121863799
172,14293,19.1188040912667
177,14342,58.8095238095238
182,14383,56.4195298372514
185,14406,47.2067039106145
191,14450,48.1566820276498
192,14458,60.613810741688
196,14490,41.6184971098266
199,14517,40.7982261640798
201,14536,38.9867841409692
203,14557,65.1399491094148
204,14568,49.4199535962877
207,14604,43.9490445859873
209,14630,39.2624728850325
215,14723,48.1308411214953
217,14759,39.2543859649123
222,14860,52.1091811414392
227,14978,32.3412698412698
232,15116,33.4622823984526
235,15207,36.6459627329193
241,15410,29.9196787148594
246,15598,50.4930966469428
251,15804,61.5577889447236
256,16025,41.7874396135266
261,16258,36.1058601134215
266,16503,38.0184331797235
271,16755,41.0798122065728
276,17012,33.5470085470085
279,17167,32.6034063260341
281,17270,24.4979919678715
286,17526,35.75
291,17777,36.026936026936
296,18018,30.0699300699301
299,18158,31.1111111111111
301,18247,25.9351620947631
306,18460,29.1005291005291
311,18654,15.0943396226415
317,18859,16.9871794871795
319,18920,36.4089775561097
324,19056,14.0065146579805
329,19167,9.87012987012987
331,19204,11.4406779661017
336,19282,16.3179916317992
341,19338,28.7749287749288
346,19376,33.578431372549
351,19400,22.0338983050847
356,19418,11.734693877551
363,19449,16.5394402035623
366,19471,16
371,19529,9.42622950819672
376,19629,20.7282913165266
381,19789,12.2282608695652
386,20032,20.5445544554455
388,20157,19.8979591836735
