"Depth","Age","TRSH"
2,-37,63.5701275045537
9,43,47.9108635097493
17,136,52.1505376344086
25,228,54.0682414698163
35,337,57.103825136612
43,426,47.0588235294118
51,520,67.5324675324675
59,603,14.2857142857143
67,686,80.8184143222506
75,770,53.8461538461538
83,900,50.7142857142857
88,1029,60.9427609427609
93,1249,82.1192052980132
99,1587,76.4411027568922
106,1754,86.5131578947368
114,1854,88.0706025562994
122,1912,86.2513426423201
130,1983,60.5970149253731
138,2127,83.6477987421384
154,2415,89.9713467048711
170,2692,87.2628726287263
182,2907,89.48432760364
198,3203,85.7142857142857
206,3345,78.3236994219653
214,3484,94.3127962085308
222,3626,96
230,3775,92.6775956284153
236,3877,91.8192918192918
239,3927,93.0597014925373
242,4029,94.9935815147625
245,4157,93.75
250,4371,95.3063885267275
255,4795,96.2481962481963
260,5215,92.8921568627451
264,5535,94.0869565217391
268,5853,95.6170703575548
272,6192,92.9032258064516
275,6462,92.8131416837782
280,6910,83.9285714285714
285,7367,57.9345088161209
290,7830,59.8290598290598
294,8549,65.9448818897638
298,9273,63.2707774798928
302,9793,58.8059701492537
305,10030,56.5349544072948
308,10270,59.0977443609023
312,10491,58.8050314465409
318,10677,71.6417910447761
324,10868,86.7093674939952
330,11055,56.5172054223149
343,11453,67.2897196261682
351,11696,49.8721227621483
359,11931,43.8040345821326
367,12179,63.9464068209501
374,12398,64.4736842105263
383,12730,53.3762057877814
391,13147,66.5116279069767
399,13683,62.3140495867769
407,14029,72.2488038277512
415,14308,65.6424581005587
421,14497,62.8205128205128
435,14923,63.953488372093
447,15283,54.0495867768595
454,15496,80.5921052631579
460,15681,75.0778816199377
466,15859,76.7741935483871
472,16038,71.3864306784661
479,16248,70.6263498920086
485,16518,73.469387755102
490,16758,69.9346405228758
495,17120,49.0066225165563
503,17714,39.622641509434
511,18341,43.1325301204819
