"Depth","Age","TRSH"
0,-52,98.9399293286219
4,7,73.9130434782609
10,104,67.9365079365079
16,218,85.8085808580858
20,304,75.4545454545455
28,460,82.4675324675325
30,494,77.6978417266187
32,529,94.9295774647887
44,806,96.1290322580645
48,907,96.6153846153846
56,1107,85.0340136054422
64,1282,88.6986301369863
72,1388,93.6666666666667
80,1501,90.5362776025237
88,1606,88.4105960264901
98,1838,97.3045822102426
104,2095,96.6216216216216
112,2505,92.4092409240924
120,2876,94.7540983606557
128,3250,90.7590759075908
136,3641,85.7585139318885
144,4009,92.5081433224756
150,4194,91.5151515151515
158,4451,92.1921921921922
166,4723,90.4907975460123
174,4989,90.6832298136646
182,5250,90.7936507936508
190,5512,91.0493827160494
201,5861,91.2751677852349
208,6085,81.9620253164557
216,6338,86.6438356164384
224,6602,88.3647798742138
232,6854,93.0921052631579
240,7139,91.1184210526316
250,7287,94.7204968944099
258,7391,96.6777408637874
266,7495,90.7894736842105
290,7813,85.1485148514851
298,7918,94.3396226415094
304,8000,96.7637540453074
312,8111,91.1184210526316
320,8719,88.6363636363636
328,9390,94.4625407166124
336,9722,95.8083832335329
344,9883,96.1783439490446
