"Depth","Age","TRSH"
8,53,96.5648854961832
16,165,98.8970588235294
24,277,97.4763406940063
46,583,91.5789473684211
57,735,96.5648854961832
64,832,96.3414634146341
80,1057,94.8717948717949
88,1173,94.0959409594096
96,1294,91.6349809885932
104,1420,97.2762645914397
112,1552,96.7032967032967
122,1727,96.0573476702509
131,1896,92.5
138,2035,92.2535211267606
154,2387,91.6083916083916
167,2709,92.3809523809524
173,2871,90.6367041198502
181,3098,92.2829581993569
189,3338,94.6778711484594
197,3588,91.9881305637982
205,3847,91.3165266106443
213,4112,94.6091644204852
229,4654,95.0331125827815
237,4926,97.4358974358974
251,5398,95.6081081081081
267,5917,93.2142857142857
279,6295,96.7551622418879
291,6680,92.1232876712329
307,7229,91.8918918918919
315,7527,94.7955390334572
331,8176,90.0684931506849
347,8901,96.6789667896679
355,9294,84.3260188087774
360,9500,84.9002849002849
363,9708,90.8771929824561
366,9800,82.8908554572271
369,9900,87.037037037037
371,10144,85.9424920127796
373,10300,85.3896103896104
375,10400,86.046511627907
382,10700,86.3636363636364
386,10900,82.9113924050633
395,11590,69.5214105793451
400,11800,79.940119760479
403,12114,71.3114754098361
411,12658,81.039755351682
415,12850,78.7671232876712
419,13219,68.3333333333333
427,13792,58.0327868852459
430,13999,56.3573883161512
435,14373,44.7058823529412
443,14957,44.6808510638298
390,112500,79.8898071625344
