"Depth","Age","TRSH"
27,100,87.1069182389937
37,200,38.5737439222042
45,330,64.1558441558442
61,500,89.010989010989
71,660,31.7941952506596
90,900,90.8713692946058
102,1500,54.739336492891
113,1800,65.0746268656716
118,2200,42.2993492407809
122,2700,60.7242339832869
127,3000,53.5971223021583
137,3295,53.3333333333333
144,3451,51.1265164644714
170,3996,53.9179104477612
180,4208,64.3312101910828
190,4420,77.3291925465839
198,4586,85.1688693098385
220,5045,15.4558404558405
250,5788,67.0731707317073
260,6048,91.9413919413919
270,6306,76.530612244898
280,6564,68.0645161290323
290,6824,80.4270462633452
300,7088,42
310,7348,54.4843049327354
320,7611,64.3410852713178
327,7799,66.2763466042155
340,8138,70.0581395348837
350,8403,86.1635220125786
360,8664,82.5242718446602
370,8920,82.0512820512821
380,9183,80.3076923076923
390,9445,78.7356321839081
399,9703,75.2212389380531
410,9964,50.395256916996
421,10248,77.4774774774775
430,10482,63.956043956044
440,10737,74.8235294117647
450,10996,72.264631043257
471,11430,73.7327188940092
481,11653,73.9473684210526
491,11862,68.5148514851485
501,12065,62.3529411764706
511,12269,64.030612244898
521,12474,61.501210653753
531,12677,62.5263157894737
541,12886,64.5161290322581
551,13090,68.9956331877729
561,13352,75.2577319587629
571,13634,68.0738786279683
581,13915,67.8651685393258
591,14186,66.1290322580645
601,14379,23.7556561085973
611,14557,20.3007518796992
621,14738,13.9130434782609
631,14914,16.6180758017493
641,15095,6.10687022900763
651,15274,6.06060606060606
658,15400,7.66423357664234
665,15535,32.8530259365994
674,15695,24.7086247086247
684,15875,25
694,16055,21.8253968253968
704,16235,34.2028985507246
715,16344,30.1255230125523
725,16521,38.8724035608309
735,16694,29.2565947242206
743,16833,35.2941176470588
752,16988,29.5942720763723
