"Depth","Age","TRSH"
8.16,57,54.140127388535
16.32,180,69.6883852691218
24.48,304,80.1324503311258
33.54,443,68.0297397769517
41.7,565,84.2293906810036
58.02,801,86.8073878627968
74.34,1044,87.0206489675516
82.55,1166,93.558282208589
107.75,1537,88.6986301369863
128.45,1845,94.8170731707317
151.81,2193,97.3214285714286
163.23,2361,93.0835734870317
169.07,2447,86.1788617886179
180.75,2616,88.1818181818182
186.54,2701,87.2852233676976
191.98,2781,91.2240184757506
202.86,2942,86.9969040247678
211.7,3077,93.8337801608579
220.94,3247,82.089552238806
231.49,3516,89.7790055248619
242.21,3773,92.9577464788732
252.93,4046,89.6186440677966
264.22,4341,85.3658536585366
265,4361,97.0479704797048
288.64,4990,91.5989159891599
299.92,5306,83.9237057220708
311.12,5648,91.1671924290221
322.32,6085,89.3939393939394
333.11,6522,83.2151300236407
344.47,6997,88.3720930232558
355.83,7483,75.7660167130919
366.48,7928,80.7692307692308
384.4,8655,88.1305637982196
390,8874,92.156862745098
395.6,9096,86.1198738170347
407.05,9552,93.030303030303
425.05,9939,74.6835443037975
434.05,10082,81.3664596273292
446.05,10274,85.5799373040752
463.98,10561,68.0921052631579
480.74,10831,87.1232876712329
494.77,11058,63.2794457274827
503.94,11208,72.0588235294118
507.46,11264,82.5974025974026
510.98,11320,84.8314606741573
515,11383,90.3426791277259
542.28,11799,81.4117647058823
550.68,11900,89.9470899470899
565.8,12056,86.3291139240506
580.92,12210,88.150289017341
596.04,12362,81.6666666666667
600.56,12408,69.9228791773779
605.44,12458,69.5331695331695
615.2,12557,71.4285714285714
