"Depth","Age","TRSH"
1,-62,34.2741935483871
2,-61,40.0616332819723
3,-57,34.5801526717557
4,-52,34.1085271317829
5,-48,34.469696969697
6,-44,34.48
7,-40,36.3197794624397
8,-35,35.6204379562044
9,-31,37.6404494382022
10,-27,36.6197183098592
11,-22,38.2422802850356
12,-9,46.5091299677766
13,13,40.461215932914
14,36,37.5
15,58,41.6015625
16,81,40.754039497307
17,103,49.8901098901099
18,126,42.5531914893617
19,148,43.6974789915966
20,171,44.8780487804878
21,193,45.7800511508951
22,219,43.019943019943
23,249,45.7386363636364
24,278,46.1764705882353
25,308,46.1904761904762
26,337,57.361963190184
27,367,53.3333333333333
28,396,52.0100502512563
29,426,40.4205607476636
30,455,50.3667481662592
31,462,47.5409836065574
32,470,44.0594059405941
33,499,50.8695652173913
34,611,44.043321299639
35,723,41.3705583756345
36,835,43.0769230769231
37,947,38.4279475982533
38,975,38.0555555555556
39,1003,43.2432432432432
41,1227,39.7932816537468
45,1489,34.1530054644809
49,1673,30.7984790874525
57,1865,34.5323741007194
65,1999,38.2183908045977
73,2169,43.2276657060519
82,2256,35.3960396039604
89,2326,48.034188034188
105,2594,45.9016393442623
122,2894,44.3946188340807
137,3128,35.4207436399217
153,3417,38.5288966725044
169,3654,35.7466063348416
188,3800,39.7163120567376
205,3925,38.4074941451991
221,4083,35.8407079646018
238,4225,40.1639344262295
255,4412,34.0057636887608
264,4517,45.928338762215
272,4706,47.1098265895954
280,4864,29.5938104448743
288,5060,41.2371134020619
296,5252,31.8965517241379
304,5444,32.0075757575758
312,5636,35.2459016393443
321,5820,28.9473684210526
338,6134,28.921568627451
354,6382,27.34375
378,6588,48.3796296296296
398,6784,35.9307359307359
414,6991,38.6516853932584
430,7159,35.0877192982456
448,7361,38.0952380952381
467,7574,34.9614395886889
483,7804,33.4239130434783
502,8043,28.7878787878788
518,8252,29.2604501607717
535,8473,25.7611241217799
551,8644,25.6027554535017
567,8845,27.390180878553
585,9030,26.3157894736842
602,9199,26.7326732673267
618,9403,31.6702819956616
636,9734,24.6062992125984
658,10096,21.0401891252955
675,10358,22.0338983050847
692,10670,28.5276073619632
710,10964,33.0666666666667
