"Depth","Age","TRSH"
15,353,94.7598253275109
35,828,100
45,1068,95.8388375165126
55,1306,96.231681786462
65,1538,100
75,1778,98.2106189498387
85,2019,96.7787682333874
95,2256,97.8123352662098
105,2496,97.6186696301
115,2734,100
135,3208,81.6276202219482
155,3699,81.057268722467
165,3944,98.3673469387755
175,4190,91.2087912087912
185,4428,95.6195737963694
195,4675,99.1967871485944
205,4920,95.4068791946309
215,5167,100
225,5404,81
235,5639,96.2541488857278
245,5866,99.394715399837
255,6092,95.7762557077626
265,6322,97.7651872836009
275,6547,86.7364746945899
285,6779,98.008357784298
295,7013,97.9474357483428
305,7242,90.4632408102025
315,7476,75.5201607117233
325,7705,75.8839528558477
335,7935,90.702296819788
355,8399,42.7780341485925
365,8624,30.7865168539326
375,8857,60.8391608391608
385,9085,79.2542372881356
395,9315,75.0281214848144
405,9430,54.2805100182149
415,9662,3.015941404567
425,9879,20.1408450704225
435,10094,21.9781931464174
