Depth,Age,TRSH
1,-53,9.727626459
2,-48,9.410288582
3,-43,11.01694915
6,-28,10.32547699
8,-18,10.0877193
10,-8,7.187112763
12,-7,8.299180328
14,-5,6.184586108
17,-2,8.287292818
20,1,7.477820025
24,5,6.652360515
28,8,9.842519685
34,18,13.44410876
36,22,10.05747126
40,30,16.5329053
44,70,8.591549296
49,116,16.14814815
52,148,12.01117318
56,197,13.46469622
60,241,8.801213961
65,302,20.97649186
68,338,15.97014925
72,387,12.38390093
76,436,10.81481481
81,498,12.06896552
82,510,11.75373134
88,578,8.055009823
97,686,16.66666667
104,771,10.27874564
113,881,9.484193012
121,978,12.52408478
129,1071,10.59322034
145,1263,14.88970588
161,1435,9.137055838
177,1603,17.24845996
193,1773,13.4
209,1949,5.046728972
250,2050,11.15973742
258,2069,9.83935743
266,2087,10.76923077
274,2105,9.236947791
282,2122,10.33138402
290,2140,8.526011561
301,2165,10.46728972
308,2181,8.992248062
315,2196,7.517482517
324,2216,8.974358974
332,2234,5.152671756
341,2254,8.163265306
240,2265,7.717569787
357,2289,10.79646018
373,2324,9.760273973
248,2343,6.97954272
389,2359,10.92715232
405,2395,7.44500846
421,2427,8.111702128
437,2461,6.031746032
453,2495,8.662900188
469,2527,8.852459016
485,2560,8.00681431
501,2592,8.399366086
517,2625,10.49596309
533,2656,10.90909091
549,2692,7.788161994
565,2752,8.73015873
581,2820,6.801736614
597,2890,7.704654896
613,2958,8.722741433
629,3029,7.423580786
645,3094,5.936073059
661,3152,6.040268456
677,3206,9.841827768
693,3260,8.613728129
709,3313,7.1197411
725,3364,7.512953368
741,3410,8.130081301
757,3446,6.806930693
773,3481,11.45552561
789,3513,7.121661721
805,3543,4.973474801
821,3572,6.12244898
837,3600,12.60945709
