"Depth","Age","TRSH"
0,-58,95.4248366013072
9,45,78.4511784511784
13,92,92.4914675767918
18,151,91.3738019169329
27,256,86.5771812080537
36,361,80.9090909090909
44,456,71.947194719472
59,633,65.4804270462633
72,784,85.5384615384615
86,948,70.3703703703704
100,1114,82.4137931034483
114,1280,85.472972972973
116,1303,82.1305841924399
127,1433,88.9261744966443
128,1445,84.7619047619048
141,1600,84.7662141779789
142,1611,87.6221498371335
149,1693,86.8512110726644
159,1806,91.6376306620209
166,1882,78.0058651026393
174,1968,84.0361445783133
187,2106,81.8471337579618
193,2170,94.4444444444444
200,2245,90.4320987654321
213,2383,78.0669144981413
228,2548,71.5568862275449
234,2617,86.2068965517241
247,2765,80.5369127516778
260,2915,81.5625
274,3115,84.3333333333333
294,3491,73.4982332155477
305,3700,82.9931972789116
309,3776,83.5504885993485
315,3888,81.5972222222222
325,4075,80.6228373702422
333,4225,87.6582278481013
338,4318,89.7590361445783
341,4374,92.6910299003322
346,4469,86.6220735785953
351,4562,78.1456953642384
355,4638,80.4918032786885
362,4772,88.622754491018
367,4866,80.2047781569966
373,4978,89.5973154362416
