"Depth","Age","TRSH"
1,-46,79.375
12,109,86.9127516778524
24,277,93.134328358209
36,444,89.1803278688525
49,645,92.5566343042071
58,783,87.8594249201278
70,945,85.5263157894737
81,1086,93.5294117647059
92,1228,93.1750741839763
110,1460,69.6369636963696
121,1602,78.125
138,1851,91.7491749174917
149,2036,83.4890965732087
160,2224,80.8450704225352
171,2410,68.013468013468
181,2579,75.5852842809364
182,2596,89.7515527950311
193,2783,75.4966887417219
203,2952,82.5242718446602
213,3123,82.7476038338658
225,3326,83.7837837837838
233,3461,82.3151125401929
244,3670,76.8211920529801
254,3874,84.2424242424242
264,4077,86.3372093023256
269,4176,53.5117056856187
283,4461,77.2727272727273
298,4769,58.3916083916084
304,4891,58.3617747440273
312,5051,15.7407407407407
313,5071,77.3913043478261
322,5254,87.6623376623377
331,5439,85.8490566037736
341,5702,81.7034700315457
350,5957,75.811209439528
355,6096,82.9268292682927
365,6393,83.3333333333333
382,6912,84.6905537459283
396,7351,77.1428571428571
407,7694,75.7097791798107
412,7848,90.1449275362319
417,7998,77.5974025974026
423,8184,68.2656826568266
428,8347,68.8271604938272
433,8509,71.5542521994135
438,8671,68.8212927756654
444,8871,71.7314487632509
449,9035,72.168284789644
454,9196,80.3986710963455
460,9398,48.6899563318777
465,9590,69.8795180722892
476,10019,73.6334405144695
481,10228,62.781954887218
487,10475,71.4285714285714
493,10721,68.125
499,10964,79.4303797468354
504,11162,64.4951140065147
510,11406,66.3967611336032
516,11651,63.6986301369863
522,11902,61.5131578947368
527,12104,47.0454545454545
