"Depth","Age","TRSH"
9,117,92.8994082840237
19,311,87.1052631578947
28,482,90
37,655,86.9565217391304
52,914,92.4119241192412
60,1020,95.3678474114441
65,1087,89.6428571428571
68,1126,94.5652173913043
75,1216,89.7727272727273
80,1282,92.6294820717131
90,1412,91.8803418803419
102,1567,92.6108374384236
110,1671,92.8571428571429
120,1806,93.8235294117647
132,2001,85.6502242152466
140,2129,84.7695390781563
153,2334,91.6905444126075
160,2442,94.0568475452196
170,2597,92.6086956521739
180,2749,91.2832929782082
190,2904,89.405684754522
196,2994,93.1937172774869
205,3132,85.0098619329389
215,3286,87.3626373626374
225,3443,86.6388308977035
235,3647,88.1019830028329
245,3848,82.8358208955224
255,4051,86.5707434052758
265,4254,88.8235294117647
270,4360,88.5441527446301
279,4550,81.769436997319
294,4872,92.8735632183908
305,5110,83.6363636363636
315,5357,89.9280575539568
324,5593,86.2132352941177
331,5776,79.3307086614173
340,6006,88
351,6280,85.9934853420195
355,6379,82.2164948453608
359,6478,84.4827586206897
375,6954,80.4597701149425
383,7206,67.1171171171171
401,7760,76.0233918128655
404,7853,75.3753753753754
415,8206,71.5686274509804
425,8662,83.5990888382688
435,9291,88.4507042253521
455,10530,71.5976331360947
465,11161,68.4813753581662
475,11634,66.4705882352941
485,12002,76.6773162939297
495,12391,76.3157894736842
505,12812,73.2258064516129
515,13613,67.1641791044776
525,14163,69.9738903394256
535,14716,81.3842482100239
551,15420,76.0348583877996
557,15654,76.4350453172205
569,16139,64.5161290322581
580,16585,52.5477707006369
592,17076,54.4159544159544
605,17602,56.9264069264069
615,18009,36.271186440678
624,18362,46.4285714285714
634,18767,38.953488372093
