"Depth","Age","TRSH"
0,-34,98.7220447284345
5,33,97.8082191780822
10,100,98.3606557377049
18,218,98.019801980198
24,318,98.469387755102
28,389,98.8023952095808
31,442,99
38,571,99.6753246753247
43,661,99.0610328638498
48,751,98.9130434782609
56,853,97.5
66,952,99.2537313432836
72,1006,99.5327102803738
77,1052,97.2696245733788
87,1157,100
97,1323,98.2332155477032
102,1405,98.876404494382
105,1443,98.6206896551724
112,1526,98.0099502487562
117,1575,98.961937716263
122,1624,99.537037037037
127,1672,95.7894736842105
132,1720,100
137,1769,99.1689750692521
147,1859,97.3684210526316
162,1988,98.1781376518219
172,2077,98.7179487179487
187,2206,99.4100294985251
197,2290,99.7402597402597
202,2338,99.0990990990991
212,2449,98.3277591973244
222,2573,99.492385786802
237,2763,97.752808988764
252,2950,99.6138996138996
272,3177,97.1153846153846
277,3232,99.1836734693878
287,3344,98.3516483516484
297,3457,99.6539792387543
313,3631,98.9556135770235
323,3733,97.8494623655914
337,3871,98.9130434782609
347,3969,97.8978978978979
362,4118,97.9674796747967
372,4217,98.6363636363636
387,4367,98.1538461538462
397,4466,97.9357798165138
401,4505,93.2203389830509
406,4555,90.1098901098901
411,4605,96.2864721485411
414,4634,94.5378151260504
416,4654,96.2616822429907
421,4703,88.1118881118881
427,4761,95.625
430,4789,95.397489539749
437,4855,96.6386554621849
439,4874,93.4010152284264
447,4951,96.2457337883959
463,5104,87.9227053140097
473,5199,96.1038961038961
487,5332,88.4393063583815
502,5481,87.6288659793814
508,5554,92.1182266009852
514,5628,83.6448598130841
516,5653,88.3720930232558
527,5789,76.7441860465116
547,6033,94.413407821229
552,6093,89.406779661017
555,6129,85.0202429149798
562,6214,84.0236686390533
572,6338,84.2105263157895
577,6400,74.6938775510204
587,6521,60.2316602316602
597,6643,68.7074829931973
612,6833,61.744966442953
622,6975,61.1842105263158
647,7355,44.5578231292517
652,7432,51.6339869281046
662,7593,34.020618556701
677,7858,62.3430962343096
687,8038,50.709219858156
697,8215,51.7374517374517
713,8523,39.8467432950192
723,8779,44.390243902439
738,9170,34.5415778251599
748,9429,50.8620689655172
752,9532,44.6685878962536
762,9795,38.6167146974063
772,10083,36.1271676300578
777,10244,34.0236686390533
780,10338,30.7692307692308
787,10571,23.9344262295082
790,10672,23.4343434343434
794,10812,21.2765957446809
797,10918,18.2481751824818
802,11093,2.34113712374582
807,11267,3.60721442885772
812,11418,5.95947556615018
813,11440,7.68558951965066
815,11486,4.1343669250646
819,11577,7.49506903353057
822,11644,4.59981600735971
825,11711,3.60610263522885
828,11776,5.89041095890411
832,11865,4.65116279069767
836,11956,7.31364275668073
838,12002,6.74603174603175
840,12048,6.08695652173913
844,12137,3.15789473684211
848,12226,5.98052851182197
852,12311,6.15097856477167
855,12369,4.68227424749164
859,12448,2.2196261682243
861,12485,3.99644760213144
864,12539,2.01612903225806
869,12629,3.93873085339168
872,12684,3.5958904109589
874,12721,3.04942166140904
877,12776,18.7984496124031
880,12830,16.551724137931
885,12923,16.6037735849057
887,12960,23.6162361623616
890,13016,20.0772200772201
895,13105,15.358361774744
897,13142,14.047619047619
902,13230,9.09090909090909
907,13318,9.81481481481481
912,13405,10.8695652173913
918,13508,11.9617224880383
921,13560,14.8148148148148
927,13662,11.9186046511628
931,13731,10.3092783505155
937,13840,10.1818181818182
947,14019,3.10077519379845
957,14201,11.9148936170213
963,14310,9.375
967,14382,8.02469135802469
973,14488,16.6666666666667
978,14573,10.6761565836299
986,14707,11.1413043478261
996,14873,18.8405797101449
1004,15003,45.0549450549451
1012,15130,32.1138211382114
1022,15279,15.9259259259259
