"Depth","Age","TRSH"
0.25,-43,21.2962962962963
0.75,-38,64.3598615916955
1.25,-33,83.9869281045752
1.75,-28,84.0319361277445
2.25,-23,88.5743174924166
2.75,-19,89.3333333333333
3.25,-14,90.8006814310051
3.75,-9,94.1763727121464
4.25,-4,94.6236559139785
4.75,1,96.3715529753266
5.25,6,94.7008547008547
5.75,10,92.9292929292929
6.25,15,91.8390804597701
6.75,20,93.3125972006221
7.25,25,93.8488576449912
7.75,30,94.6826758147513
8.25,34,95.7369062119367
8.75,39,96.7105263157895
10.25,55,96.71875
11.25,71,96.6269841269841
12.25,87,96.4130434782609
13.25,103,97.5967957276368
14.25,119,97.5501113585746
15.25,135,97.2651605231867
16.25,151,97.7107180020812
17.25,167,97.0674486803519
18.25,183,94.2701227830832
19.25,199,93.5082872928177
20.25,215,93.5379644588045
21.25,232,93.7179487179487
22.25,249,96.4245810055866
23.25,267,94.356005788712
24.25,284,94.9707602339181
25.25,301,95.3405017921147
26.25,318,93.7625754527163
27.25,335,94.5355191256831
28.25,352,93.8176197836167
30.25,395,97.8131212723658
34.25,629,95.6204379562044
38.25,857,97.8947368421053
42.25,1263,95.5555555555556
47.75,2003,94.8770491803279
52,2541,98.110661268556
57,3144,96.7905405405405
62,3575,98.5294117647059
67,3747,98.2824427480916
72,3915,97.4811083123426
77,4085,89.8123324396783
82,4256,95.9893048128342
87,4425,98.6159169550173
92,4592,96.4989059080963
97,4753,82.0324005891016
102,4911,89.193302891933
107,5070,51
112,5227,78.4615384615385
117,5383,81.1151079136691
122,5537,44.367417677643
127,5693,69.2699490662139
132,5845,76.504854368932
137,5997,84.7087378640777
142,6144,59.2901878914405
147,6284,34.46519524618
152,6420,33.2603938730853
157,6553,25.7575757575758
162,6686,21.9976218787158
167,6820,7.78611632270169
172,6957,14.6114864864865
177,7100,21.0743801652893
182,7239,20.4379562043796
187,7374,17.1206225680934
192,7512,16.4835164835165
197,7653,13.7535816618911
202,7790,6.06060606060606
207,7918,12.8598848368522
212,8026,18.7719298245614
217,8099,17.6623376623377
222,8172,12.5412541254125
226,8231,11.4010989010989
231,8303,6.43513789581205
241,8450,3.22372662798195
246.5,8532,3.93873085339168
252.5,8621,34.6074380165289
262,8753,23.7472766884532
272,8883,13.0674846625767
282,9015,14.7111913357401
292,9151,7.9646017699115
302,9284,30.4964539007092
312,9418,28
322,9552,13.7434554973822
332,9684,21.5568862275449
342,9818,5.79439252336449
346,9872,4.63576158940397
356,10002,47.9338842975207
361,10069,16.7562724014337
366,10146,16.374269005848
371,10223,20.2572347266881
376,10300,12.9909365558912
381,10378,19.9579831932773
387,10470,20.1017811704835
391,10531,24.9049429657795
396,10608,27.1317829457364
401,10685,34.8659003831418
406,10761,35
411,10838,46.25
416,10913,24.4186046511628
421,11000,25.8064516129032
423.5,11070,16.6666666666667
426,11140,18.6813186813187
431,11279,10.7843137254902
436,11412,10.5820105820106
441,11546,6.67613636363636
446,11680,6.07734806629834
452,11849,23.5807860262009
457,12002,34.6303501945525
462,12164,14.1472868217054
467,12338,19.1780821917808
472,12480,14.4901610017889
477,12579,11.0778443113772
482,12679,12.6865671641791
487,12782,39
492,12883,28.5024154589372
497,12982,21.969696969697
502,13082,15.3005464480874
507,13184,4.58015267175572
512,13283,4.6448087431694
522,13471,6.49926144756278
532,13623,3.17919075144509
552,13924,6.22222222222222
562,14081,2.77777777777778
572,14263,6.29370629370629
576,14350,7.21003134796238
582,14478,4.54545454545455
586,14566,9.13978494623656
592,14697,4.91803278688525
596,14783,9.52380952380952
606,14997,20.4545454545455
611,15105,6.50406504065041
621,15325,4.22535211267606
632,15566,21.5384615384615
642,15781,20
652,15969,27.0491803278689
662,16158,22.2222222222222
672,16345,15.5882352941176
682,16532,23.8938053097345
692,16718,0
698.5,16844,0.636942675159236
