"Depth","Age","TRSH"
0,0,76.5432098765432
5,608,90.650406504065
10,1215,72.4770642201835
15,1822,95.2941176470588
20,2430,94.579945799458
25,3038,97.8260869565217
30,3645,95.2830188679245
35,4253,85.625
40,4860,87.843137254902
45,5468,95.221843003413
50,6075,86.1198738170347
55,6683,88.4318766066838
60,7290,87.5763747454175
65,7898,87.1186440677966
70,8505,89.0566037735849
75,9113,78.6173633440514
80,9720,56.4049586776859
85,10328,77.5919732441472
90,10935,77.1634615384615
95,11542,82.5082508250825
100,12150,89.0285714285714
105,12758,83.1187410586552
110,13365,82.5918762088975
115,13972,75.8333333333333
