Depth,Age,Influx
0.13,378,7.1369295
0.23,715,31.120332
0.33,1053,10.207469
0.43,1390,14.439834
0.53,1723,16.929461
0.63,2060,10.788382
0.73,2396,11.86722
0.83,2727,7.4688797
0.93,3065,16.59751
1.07,3531,2.1576763
1.26,4162,7.7178423
1.46,4818,3.4854772
1.57,5259,6.5560166
1.67,5671,5.4771784
1.76,6044,15.767635
1.87,6493,17.427386
2.23,7967,6.5560166
2.32,8356,7.1369295
2.43,8834,4.6473029
2.52,9229,9.626556
2.63,9695,11.86722
2.73,10093,4.06639
2.82,10424,20
2.91,10903,2.1576763
2.97,11240,18.838174
3.02,11523,15.518672
3.2,12549,1.3278008
3.27,12857,1.5767635
3.32,13063,0.99585062
