Depth,Age,TRSH
105,10013,19.35483871
110,10214,15.49295775
115,10416,17.46031746
120,10617,30
125,10819,18.05555556
130,11020,17.64705882
135,11222,38.88888889
140,11315,24.24242424
145,11409,41.4893617
150,11502,26.86567164
155,11596,54.59770115
160,11690,20.4379562
165,11784,48.32214765
170,11818,12.64367816
175,11853,63.33333333
180,11887,31.29770992
185,11922,53.63636364
190,11956,25.35211268
195,11991,51.90839695
200,12025,8.943089431
205,12060,53.95683453
210,12143,10.86956522
215,12226,52.41935484
220,12309,8.333333333
225,12392,56.04395604
230,12475,36.13445378
235,12558,54.65838509
240,12641,26.19047619
245,12724,35
250,12807,31.73076923
255,12890,44.44444444
260,12973,34.88372093
265,13062,38.03680982
