Depth,Age,TRSH
1.422305764,-43,51.875
11.38471178,61,39.375
20.96177945,164,30
31.45676692,257,43.75
36.62593985,367,35
40.73621554,485,55
45.82706767,614,30.625
51.87656642,748,37.5
56.67919799,865,35.625
61.43483709,966,24.375
65.80513784,1144,16.25
70.64536341,1356,21.875
75.93671679,1553,37.5
81.13721805,1741,35
91.05263158,1951,13.125
101.5695489,2162,31.25
111.3847118,2376,69.375
113.1641604,6130,24.375
116.0557644,6217,41.25
118.4743108,6317,43.75
121.1239905,6444,34.21296296
123.7763825,6676,54.10590278
125.7489064,6921,30.95775463
128.047767,7132,26.61747685
131.0609423,7312,25.89409722
135.9650573,7377,32.04282407
138.0663029,7400,34.57465278
141.5236587,7427,29.87268519
146.204777,8021,37.82986111
151.0436247,8487,30.95775463
156.1000302,8968,21.19212963
160.734011,9483,19.74537037
