Depth,Age,TRSH
42.7366657,9897,32.9548657
52.90919174,11102,37.81125922
62.70495756,12074,37.78746384
70.99368248,13045,39.9150151
83.05000965,14396,35.59035685
92.46901524,15163,43.96297575
98.87393904,15586,37.69960397
105.2788628,15933,31.24098802
111.3070264,16280,26.14999643
122.6098331,16915,25.73205189
132.405599,17488,31.95606977
142.2013648,18050,23.53677531
151.6203704,18592,24.09962763
161.4161362,19125,27.39498304
180.6309076,20723,27.93403998
190.8034336,22092,26.93310857
202.4830006,23596,23.58558635
233.0005787,26255,31.90695366
243.1731047,27076,27.58687145
252.9688706,27875,39.27772594
263.4239668,28702,25.62320157
272.3196943,29398,25.05924761
283.0468951,30620,37.37153615
312.6121071,33478,29.30013052
322.0311127,34316,37.54801009
352.3812418,36639,31.91524984
362.3235255,37284,33.92489193
373.0507263,37986,26.84835023
382.2080929,38589,29.26665767
413.6047782,40687,29.5971491
431.1345942,41877,33.48656708
441.6001559,42587,32.91879976
451.8040787,43301,34.79222006
462.2696404,44000,33.27534917
473.2584803,45060,24.84230965
485.0322373,46259,26.84750282
492.8814086,47044,26.828436
501.7771361,47985,22.73924019
512.765976,49073,23.25489155
