Depth,Age,TRSH
15.78620275,378,16.36683807
23.90092736,715,20.56154081
33.84879759,1053,28.26036444
44.64806211,1390,32.0996891
55.25179111,1723,19.10433553
65.33409201,2060,38.37700045
76.1089146,2396,40.11199034
85.48647285,2727,37.289916
94.35482399,3065,29.20778065
108.9344422,3531,49.87557608
128.0398932,4162,35.81331236
149.0925522,4818,35.0753985
157.7327785,5259,45.93305211
168.8009044,5671,72.92005936
178.3699245,6044,48.0016939
188.1670695,6493,42.72378638
223.9826612,7967,39.8559319
234.8593252,8356,50.35898337
243.8580334,8834,53.49996685
254.2947424,9229,26.12499227
263.4645442,9695,43.99631921
273.9745791,10093,61.51459589
284.1790897,10424,52.72868781
294.6646826,10903,68.1426297
299.5123344,11240,22.53939824
304.1196404,11523,33.40403526
324.785302,12549,76.5079812
329.950699,12857,58.26110189
334.9531497,13063,64.56557095
