"Depth","Age","Influx"
"0.65","879","0.094336279"
"0.69","965","0.054584971"
"0.77","1138","0.073960772"
"0.89","1397","0.080122326"
"0.97","1569","0.044853591"
"1.09","1828","0.07110093"
"1.17","2000","0.230925405"
"1.29","2259","0.064529017"
"1.37","2432","0.034238605"
"1.49","2690","0.073255349"
"1.57","2862","0.037012093"
"1.65","3034","0.217125116"
"1.77","3292","0.096666047"
"1.85","3464","0.053427082"
"1.97","3721","0.014792558"
"2.05","3893","0.305596279"
"2.17","4151","0.027092093"
"2.25","4323","0.037842326"
"2.37","4581","0.064335723"
"2.45","4754","0.018154749"
"2.57","5013","0.139284651"
"2.65","5185","0.026750805"
"2.69","5272","0"
"2.77","5444","0.000243699"
"2.85","5617","0.022568372"
"2.97","5875","0.051223121"
"3.05","6048","0.198407259"
"3.17","6307","0.240208092"
"3.25","6480","0.276528178"
"3.37","6749","0.128578578"
"3.45","6960","0.10421181"
"3.53","7170","0.254119874"
"3.65","7487","0.07728038"
"3.77","7803","0.044490616"
"3.85","8014","0.039861646"
"3.97","8330","0.042412133"
"4.05","8541","0.184093671"
"4.17","8857","0.093727925"
"4.25","9069","0.073655394"
"4.37","9386","0.631290616"
"4.45","9597","0.570896025"
"4.57","9914","0.027619858"
"4.73","10337","0.056499114"
"4.85","10653","0.0499909"
"4.93","10864","0.089236467"
"5.05","11181","0.007557915"
"5.13","11392","0.05054877"
"5.25","11709","0.07089981"
"5.33","11919","0.055561899"
"5.45","12235","0.03476019"
"5.53","12446","0.07832455"
"5.69","12868","0.119763048"
"5.77","13078","0.150733671"
"5.89","13394","0.158164952"
"5.97","13604","0.291597073"
"6.09","13932","0.503977872"
"6.17","14167","0.380374091"
"6.29","14519","0.235112511"
"6.37","14754","0.128512159"
"6.49","15106","0.228659145"
"6.65","15574","0.453837957"
"6.73","15809","0.203834318"
"6.85","16161","0.027196239"
"6.93","16395","0.067876705"
"7.05","16747","0.46281812"
"7.13","16981","0.369045341"
"7.25","17333","0.272322051"
"7.33","17567","0.064035556"
"7.45","17918","0.023826667"
"7.53","18152","0.030992479"
"7.65","18503","0.054976752"
"7.73","18737","0.183985299"
"7.85","19088","0.008161368"
"7.93","19322","0.018280227"
"8.05","19674","0.067594872"
"8.13","19908","0.015140513"
"8.25","20259","0.007162735"
"8.33","20493","0.073426705"
"8.45","20845","0.129573038"
"8.65","21431","0.034398638"
"8.73","21666","0.071180883"
"8.85","22051","0.044632366"
"8.93","22313","0.268047328"
"9.05","22706","0.292128855"
"9.13","22968","0.064161722"
"9.25","23363","0.08466687"
"9.33","23625","0.116881823"
"9.45","24020","0.023617602"
"9.65","24679","0.141042452"
"9.73","24940","0.132437665"
"9.85","25334","0.02164855"
"9.93","25596","0.089020408"
"10.05","25988","0.145182529"
"10.13","26249","0.028196624"
"10.25","26640","0.078524138"
"10.33","26901","0.212161535"
"10.45","27292","0.101353257"
"10.53","27553","0.105065064"
"10.65","27944","0.080729502"
"10.73","28205","0.007556317"
"10.85","28596","0.060384674"
"10.93","28857","0.027114184"
"11.05","29249","0.034794483"
"11.13","29510","0.008756939"
"11.25","29902","8.647006897"
"11.33","30163","0.009481837"
"11.45","30555","0.02376106"
"11.65","31762","0.019165714"
"11.77","32483","0.014587557"
"11.85","32962","0.061290333"
"11.93","33442","0.026843115"
"12.05","34161","0.013840833"
"12.13","34641","0.088118887"
"12.25","35360","0.039286333"
"12.33","35840","0.010162053"
"12.45","36561","0.028611912"
"12.61","37518","0.035013"
"12.69","37998","0.017235939"
"12.81","38717","0.030055423"
"12.93","39438","0.024440585"
"13.01","39917","0.021361674"
"13.09","40395","0.003211579"
"13.21","41117","0.0956319"
"13.29","41596","0.004167046"
"13.41","42317","0.007179709"
"13.49","42798","0.013833075"
"13.61","43520","0.026849627"
"13.69","44002","0.002124833"
"13.81","44722","0.00821"
"13.89","45202","0.014827688"
"14.01","45920","0.00721087"
"14.06","46219","0.138899751"
"14.14","46701","0.441426479"
"14.26","46914","0.121465983"
"14.34","47031","0.025200659"
"14.46","47213","0.042333217"
"14.54","47328","1.504804091"
"14.66","47504","1.088750593"
"14.83","47740","0.662332414"
"14.91","47856","0.034502791"
"15.03","48028","0.009582857"
"15.11","48140","0.099597943"
"15.23","48315","0.208694369"
"15.31","48418","0.109868876"
"15.43","48587","0.034373369"
"15.57","48774","0.778579259"
"15.65","48882","1.936637037"
"15.77","49044","4.298680396"
"15.85","49145","0.529391847"
"15.97","49302","0.589608421"
"16.05","49397","0.140421892"
"16.17","49545","0.035750301"
"16.4","49811","0.098229903"
"16.48","49914","0.1475225"
"16.6","50058","0.205964536"
"16.68","50155","0.055220426"
"16.8","50296","0.127857818"
"16.88","50516","0.008011034"
"17","51096","0.001530207"
