"Depth","Age","TRSH"
1850,0,86.1635220125786
1860,64,87.6957494407159
1880,194,85.5477855477856
1900,324,87.4125874125874
1910,389,84.0989399293286
1920,454,86.9300911854103
1930,519,88.9502762430939
1950,649,82.9457364341085
1970,779,85.3658536585366
1990,909,81.2297734627832
2010,1039,81.9727891156463
2030,1168,86.0158311345646
2050,1298,84.5117845117845
2070,1428,78.5964912280702
2090,1558,72.1875
2110,1688,73.7864077669903
2130,1818,77.7777777777778
2150,1948,84.045584045584
2170,2078,82.3529411764706
2190,2207,77.6119402985075
2210,2337,82.8828828828829
2230,2467,79.4285714285714
2250,2597,79.2899408284024
2260,2664,78.9634146341463
2270,2734,73.758865248227
2280,2803,72.0538720538721
2290,2873,80.7339449541284
2300,2942,78.2729805013928
2310,3012,73.1578947368421
2320,3081,79.7979797979798
2330,3151,68.562874251497
2350,3290,72.8706624605678
2370,3429,71.6923076923077
2390,3568,74.0331491712707
2410,3707,75.5700325732899
2420,3776,78.0555555555556
2440,3915,77.1771771771772
2460,4054,78.1163434903047
2480,4193,80.8900523560209
2500,4332,81.5789473684211
2520,4471,75.8152173913043
2540,4610,81.524926686217
2550,4680,77.5510204081633
2560,5024,81.1501597444089
2570,5643,75.7834757834758
2580,6262,80.0936768149883
2600,7500,68.8679245283019
2610,8119,69.4117647058823
2620,8738,71.875
2640,9976,65.7289002557545
2650,10509,65.0130548302872
2660,10843,54.2372881355932
2670,11176,66.1442006269592
2680,11509,57.0063694267516
2700,12176,71.9402985074627
2710,12509,67.4698795180723
2720,12843,67.4050632911392
2730,14399,69.971671388102
2740,17179,46.969696969697
2750,19958,59.8187311178248
2770,25517,64.7249190938511
2780,28296,57.0996978851964
2800,33648,45.045045045045
2820,37138,64.4278606965174
2840,40627,61.2612612612613
2860,42357,65.5172413793103
2870,42928,57.4344023323615
2890,44071,62.6436781609195
2900,44642,50.7645259938838
2920,45785,63.5258358662614
2950,47499,40.7051282051282
2960,48071,62.1890547263682
2970,48642,47.8658536585366
