"Depth","Age","TRSH"
10,45,39.7350993377483
25,114,56.5533980582524
35,159,57.0552147239264
45,205,74.9469214437367
55,250,86.6004962779156
65,690,60.8843537414966
75,1130,55.4027504911591
85,1570,50.5376344086022
95,2010,61.6942909760589
105,2450,88.1987577639752
115,2890,87.1308016877637
125,3331,82.2404371584699
135,3771,81.9672131147541
145,4211,85.042735042735
163,5003,88.1578947368421
173,5443,83.3333333333333
183,5883,82.2269807280514
193,6323,85.2882703777336
203,6763,88.6128364389234
213,7203,86.4970645792564
223,7643,87.9069767441861
233,8083,83.1196581196581
243,8524,82.5102880658436
253,8964,82.1561338289963
261,9316,71.588785046729
271,9756,84.0182648401827
281,10196,63.1799163179916
291,10636,85.3904282115869
301,11076,62.3678646934461
316,11736,67.4185463659148
321,11956,66.6023166023166
368,13812,50.6578947368421
378,13928,58.3769633507853
398,14158,59.9315068493151
408,14274,62.3595505617978
418,14389,54.639175257732
428,14505,44.2970822281167
438,14620,35.2941176470588
448,14736,82.3008849557522
458,14851,55.421686746988
468,14966,65.4545454545455
478,15082,51.8518518518519
488,15197,75.7062146892655
498,15312,51.7482517482517
508,15428,67.9558011049724
518,15543,42.6174496644295
528,15659,48.6577181208054
538,15774,62.751677852349
548,15890,75.1366120218579
558,16005,66.3333333333333
563,16063,59.5348837209302
568,16120,70.6043956043956
573,16178,72.1518987341772
618,16697,68.4466019417476
628,16813,70.1067615658363
633,16870,64.4329896907217
638,16928,54.7169811320755
648,17044,92.8571428571429
658,17159,64.7058823529412
663,17217,65.1245551601424
668,17274,26.7175572519084
673,17332,56.9620253164557
678,17390,43.2258064516129
683,17448,64.7887323943662
688,17505,65.5172413793103
693,17563,77.2388059701493
698,17621,82.8467153284672
703,17678,71.0526315789474
708,17736,61.2403100775194
713,17794,36.8421052631579
718,17851,25.531914893617
728,17967,31.3609467455621
738,18082,24.2677824267782
748,18198,18.8405797101449
757,18301,22.289156626506
762,18359,25.4437869822485
767,18417,13.4453781512605
771,18463,18.75
777,18532,34.9344978165939
782,18590,31.3588850174216
787,18648,25.7142857142857
792,18705,28.6852589641434
797,18763,34.1637010676157
802,18821,52.2988505747126
807,18878,68.2242990654206
812,18936,59.7826086956522
817,18994,61.3636363636364
822,19052,77.3809523809524
827,19109,67.9487179487179
837,19225,73.4265734265734
