"Depth","Age","TRSH"
140,2083,93.3333333333333
145,2261,48
150,2438,34.8739495798319
160,2792,40.5714285714286
170,3158,80.6201550387597
175,3339,70.6106870229008
180,3522,62.8099173553719
185,3700,63.8783269961977
190,3878,77.0114942528736
195,4057,80.4635761589404
200,4237,83.2298136645963
205,4416,56.7123287671233
210,4597,54.9479166666667
215,4776,55.9420289855072
225,5133,54.177897574124
230,5310,41.8079096045198
240,5658,79.6943231441048
245,5820,69.9386503067485
250,5983,81.1594202898551
255,6143,76.8
265,6435,65.6565656565657
270,6565,70.5014749262537
275,6687,70.7253886010363
280,6804,68.2795698924731
285,6927,80.9027777777778
290,7048,60.8490566037736
295,7168,74.4791666666667
300,7288,57.3099415204678
305,7406,82.8703703703704
310,7523,85.5072463768116
320,7766,91.4893617021277
330,8008,86.0103626943005
332,8065,84.1269841269841
340,8289,94.7976878612717
350,8700,85.7142857142857
360,9110,86.4130434782609
390,10345,96.4912280701754
405,10963,95.7317073170732
410,11165,95.9375
415,11371,98.3660130718954
421.5,11670,92.4242424242424
422.5,11731,81.1111111111111
423.5,11792,73.6196319018405
424,11822,83.4710743801653
424.5,11853,89.7560975609756
425,11883,91.4141414141414
425.5,11913,84.7682119205298
426.5,11973,95.5223880597015
427,12003,89.4736842105263
427.5,12033,82.1428571428571
428,12062,86.8778280542986
428.5,12091,84.8101265822785
429,12121,83.5051546391753
429.5,12150,88.5350318471338
430,12179,72.2567287784679
431,12240,79.4285714285714
432,12300,78.8461538461538
433,12362,80.5128205128205
434,12424,76.7045454545455
435,12486,63.4408602150538
436,12548,69.620253164557
437,12611,73.4848484848485
438,12673,76.0233918128655
439,12735,75.4098360655738
439.5,12766,66.3716814159292
440,12798,65.1685393258427
445,13044,93.5860058309038
450,13282,82.7027027027027
455,13457,78.9017341040462
460,13627,68.407960199005
465,13806,63.7096774193548
470,13986,76.5690376569038
475,14167,72.7642276422764
480,14344,62.6865671641791
490,14695,91.8088737201365
510,15392,71.4912280701754
545,16622,61.9377162629758
550,16799,61.2334801762115
565,17327,78.3505154639175
585,18031,26.5625
595,18382,28.5714285714286
605,18735,44.6700507614213
615,19087,82.2463768115942
625,19447,36.864406779661
635,19807,23.2323232323232
645,20154,74.2647058823529
655,20508,62.7240143369176
690,21773,68.3098591549296
