"Depth","Age","TRSH"
275,-18,90.2356902356902
280,49,89.6551724137931
295,249,92.9530201342282
315,517,95.6666666666667
335,784,93.9393939393939
345,918,96.2962962962963
365,1185,94.314381270903
385,1452,94.3521594684385
405,1720,91.2162162162162
425,1987,93.3993399339934
445,2254,93.3554817275748
465,2522,93.2659932659933
485,2789,95.3177257525084
505,3057,91.7218543046358
525,3324,93.6454849498328
545,3591,93.6026936026936
565,3859,92.3076923076923
585,4126,85.6666666666667
595,4260,79.8657718120805
605,4393,70.5685618729097
615,4527,62.6712328767123
