"Depth","Age","TRSH"
5,-39,18.5328185328185
10,-11,18.9732142857143
15,17,23.5668789808917
20,44,27.0758122743682
25,72,21.6157205240175
30,99,25.938566552901
35,126,33.3333333333333
40,153,34.9056603773585
45,180,33.5766423357664
50,207,50
55,235,44.9685534591195
60,263,36.7741935483871
65,289,30.4635761589404
70,317,36.7741935483871
75,345,23.4096692111959
80,369,16.8975069252078
85,391,16.5605095541401
90,412,11.6182572614108
95,435,55.8823529411765
100,461,43.6507936507937
105,486,19.9404761904762
110,512,63.5220125786164
115,537,26.9938650306748
120,562,42.8571428571429
125,588,75.6756756756757
130,612,49.4505494505495
135,629,50
140,646,58.3333333333333
145,663,32.2784810126582
150,680,25.8992805755396
155,697,15.1260504201681
165,731,29.0322580645161
180,783,55.2083333333333
190,819,39.5604395604396
200,866,51.4705882352941
205,890,76.0416666666667
210,914,60.178970917226
215,939,57.4803149606299
220,963,65.8823529411765
225,987,67.3992673992674
230,1012,75.1700680272109
235,-39,18.5328185328185
