"Depth","Age","TRSH"
52,323,53.8271604938272
73,474,55.8252427184466
91,605,56.5826330532213
105,711,46.684350132626
126,866,67.5603217158177
137,946,57.4025974025974
153,1067,62.9242819843342
165,1151,60.3286384976526
177,1237,60.2905569007264
182,1273,65.5256723716381
189,1322,67.3860911270983
195,1365,66.9856459330144
202,1417,70.4485488126649
210,1478,60.4221635883905
222,1593,51.2690355329949
235,1719,61.038961038961
248,1841,54.6153846153846
273,2091,58.8528678304239
288,2224,56.5656565656566
301,2291,48.0314960629921
316,2363,54.4117647058824
325,2406,72.7272727272727
338,2469,65.6
350,2525,60.8923884514436
369,2625,58.8832487309645
385,2727,60.25
400,2831,71.5789473684211
413,2919,66.0574412532637
426,3007,71.501272264631
434,3061,70.4878048780488
455,3200,58.5714285714286
478,3354,63.0026809651475
503,3541,65.7210401891253
526,3707,62.870159453303
548,3872,68.5851318944844
559,3955,69.6682464454976
583,4136,73.3009708737864
604,4289,71.2589073634204
626,4449,70
669,4764,71.536523929471
699,4988,63.254593175853
725,5201,68.3937823834197
734,5276,64.5631067961165
757,5466,69.5431472081218
781,5667,69.6682464454976
813,5934,77.1505376344086
838,6144,73.2860520094563
865,6373,71.2041884816754
908,6733,69.3430656934307
933,6941,69.3766937669377
954,7118,67.7333333333333
985,7377,74.1626794258373
1005,7543,73.9247311827957
1030,7789,68.8405797101449
1070,8196,66.1375661375661
1090,8401,69.6891191709845
1115,8656,73.0864197530864
1153,9038,70.4188481675393
1176,9278,70.6185567010309
1197,9490,72.3618090452261
1215,9520,76.6404199475066
