"Depth","Age","TRSH"
29,263,95.59902200489
49,443,90.1785714285714
51,463,94.1379310344828
64,587,95.7559681697613
80,731,96.3210702341137
98,896,94.5686900958466
105,963,93.2065217391304
113,1059,80.6306306306306
116,1103,52.4647887323944
118,1132,47.3520249221184
120,1161,54.8172757475083
125,1234,53.3112582781457
130,1307,51.6778523489933
136,1395,51.2820512820513
140,1454,61.2903225806452
143,1498,57.0422535211268
145,1527,59.4427244582043
150,1598,45.7564575645756
153,1632,53.6912751677852
155,1654,57.8787878787879
158,1688,66.0714285714286
162,1733,77.1523178807947
165,1767,80.3030303030303
168,1801,79.7752808988764
170,1828,55.3264604810997
172,1858,54.4072948328268
176,1919,48.2758620689655
180,1980,34.6749226006192
184,2041,44.4099378881988
187,2087,32.5153374233129
191,2148,67.7966101694915
194,2195,48.6928104575163
197,2241,76.5567765567766
200,2287,66.9144981412639
204,2348,50.7194244604317
208,2410,42.6174496644295
211,2457,50.7288629737609
216,2536,49.2012779552716
218,2568,42.6573426573427
221,2616,56.3517915309446
229,2742,60.738255033557
236,2852,57.5657894736842
243,2961,54.3478260869565
248,3040,58.7096774193548
252,3120,59.7633136094675
255,3184,70.3030303030303
259,3270,81.4696485623003
268,3463,79.2642140468227
279,3670,78.6440677966102
289,3856,75.9878419452887
303,4146,72.2222222222222
315,4391,74.7692307692308
328,4653,69.3009118541033
331,4712,82.3529411764706
337,4828,85.4545454545455
362,5258,89.7350993377483
383,5564,89.7196261682243
403,5852,86.4661654135338
423,6135,89.2183288409703
438,6351,84.4765342960289
463,6711,85.3333333333333
486,7047,85.5828220858896
506,7354,82.9268292682927
528,7701,85.3107344632768
543,7994,89.419795221843
563,8811,83.8709677419355
576,9221,83.0508474576271
583,9331,81.9277108433735
588,9409,68.3168316831683
