"Depth","Age","TRSH"
0,-39,82.6989619377163
45,269,89.2255892255892
55,338,91.25
65,408,90.7051282051282
73,465,97.0779220779221
84,542,91.2052117263844
103,674,91.7808219178082
123,769,89.2988929889299
163,948,92.3780487804878
203,1124,90.5723905723906
223,1213,54.9828178694158
243,1308,80.2197802197802
263,1401,52.8888888888889
293,1544,60.5633802816901
318,1661,81.437125748503
353,1854,55.8052434456929
368,1956,65.4676258992806
393,2128,67.3611111111111
418,2302,59.6153846153846
443,2472,72.4890829694323
493,2816,90.495867768595
518,2987,88.4422110552764
543,3160,84.0989399293286
563,3299,83.7320574162679
593,3503,83.6734693877551
628,3743,90.5956112852665
639,3818,90.9395973154362
668,4015,88.3458646616541
718,4357,84.0909090909091
728,4427,62.9370629370629
768,4714,77.7439024390244
793,4896,94.19795221843
813,5041,88.6524822695036
823,5113,89.9082568807339
