"Depth","Age","TRSH"
0,0,6.1381074168798
10,130,1.68855534709193
20,260,3.42679127725857
30,300,4.13793103448276
40,340,0.602409638554217
50,380,0.666666666666667
60,420,0.657894736842105
80,500,0
90,540,1.03092783505155
100,580,0.413223140495868
110,620,1.51975683890578
120,660,3.24074074074074
130,700,1.71919770773639
140,740,1.55555555555556
150,780,2.50569476082005
160,820,2.60416666666667
170,860,2.78745644599303
180,900,3.61990950226244
190,940,2.97619047619048
200,980,2.82352941176471
210,1020,2.85714285714286
220,1060,4.15512465373961
230,1100,2.24358974358974
240,1140,5.14285714285714
250,1180,5.39772727272727
260,1220,7.9136690647482
270,1260,6.34920634920635
280,1300,7.72946859903382
290,1340,4.53172205438066
