"Depth","Age","TRSH"
0.25,-50,88.9280322093609
0.75,-29,85.2991452991453
1.75,16,77.7777777777778
2.75,61,90.7120743034056
3.75,106,91.6129032258064
4.75,153,88.5433715220949
5.75,197,84.9624060150376
6.75,246,82.9032258064516
7.8595,314,80.3328290468986
9.0055,385,82.2866344605475
10.1515,457,68.4698608964451
11.2975,534,58.3471074380165
12.4435,610,57.5113808801214
13.5895,706,47.9591836734694
14.7355,817,43.5643564356436
15.8815,930,33.3333333333333
17.0275,1046,36.4238410596027
18.1735,1172,32.1131447587354
19.3195,1326,31.7293233082707
20.4655,1515,26.5671641791045
21.6115,1704,25.4777070063694
22.7575,1906,31.6341829085457
23.9035,2110,27.2972972972973
25.0065,2293,30.8885754583921
26.1538,2620,28.2644628099174
27.3413,3028,38.622754491018
28.5288,3436,34.0329835082459
29.7163,3829,33.5593220338983
30.6688,4140,35.7429718875502
31.5429,4345,41.6803953871499
32.4171,4490,50.8620689655172
33.2913,4620,44.5103857566766
34.1654,4743,41.566265060241
35.0396,4872,46.8613138686131
35.9138,5000,54.6944858420268
36.7879,5120,52.9230769230769
37.6621,5206,56.0975609756098
38.5363,5268,45.5399061032864
39.4104,5321,58.2381729200653
40.2846,5372,58.3050847457627
41.75,5455,55.8641975308642
42.75,5513,55.9822747415067
43.75,5573,66.0030627871363
44.75,5633,59.6747967479675
45.75,5697,67.687074829932
46.75,5760,56.2599049128368
47.75,5823,60.3803486529319
48.75,5884,58.4251968503937
49.75,5945,63.0914826498423
50.75,6007,76.2252346193952
