"Depth","Age","TRSH"
3,44,47.5138121546961
8,162,38.6046511627907
10,209,34.8547717842324
23,493,34.2857142857143
40,786,28.735632183908
54,1009,24.1379310344828
66,1202,39.622641509434
83,1472,31.9829424307036
103,1814,42.9906542056075
129,2886,32.512315270936
143,3560,52.3002421307506
162,4468,45.1038575667656
174,5032,46.6666666666667
193,5906,44.6564885496183
206,6350,56.1475409836066
214,6580,40.8695652173913
232,7094,54.1666666666667
250,7509,49.6894409937888
267,7871,53.5211267605634
281,8162,41.5584415584416
297,8500,37.0731707317073
313,8838,53.1764705882353
331,9225,33.1923890063425
339,9395,58.3804143126177
347,9563,70.3071672354949
358,9775,79.8882681564246
368,9954,73.5185185185185
379,10148,67.0909090909091
393,10401,68.9839572192513
399,10510,55.5023923444976
404,10599,68.6427457098284
418,10854,57.7142857142857
433,11130,68.2352941176471
445,11351,55.8558558558559
460,11623,52.2033898305085
471,11805,50.1901140684411
485,12027,45.0819672131148
490,12104,31.8518518518519
496,12204,12.3076923076923
506,12376,5.71428571428571
534,12876,1.27970749542962
564,13408,2.9585798816568
575,13603,55.8510638297872
590,13870,0.899280575539568
604,14119,0
619,14391,0
667,15255,3.84615384615385
679,15471,0
721,16223,1.30890052356021
