Depth,Age,TRSH
3.453333333,-51,81.46
11.41,1,81.66
22.09666667,70,91.66
31.25666667,128,95.43
39.63,178,93.52
49.41,238,91.57
59.32,297,90.7
69.23,357,91.38
78.64333333,412,90.16
87.72333333,464,92.37
95.28,506,78.21
99.93,532,86.34
106.37,567,81.93
111.6866667,593,69.97
121.06,654,56.33
137.3,865,53.99
152.44,1066,61.79
164.81,1225,48.06
176.0633333,1366,52.09
187.57,1513,60.98
196.9566667,1627,61.07
205.7233333,1736,67.48
221.51,1929,69.17
228.2566667,2015,80.56
245.23,2226,86.49
252.7433333,2338,89.92
262.18,2566,88.23
276.1933333,2902,70.23
277.6466667,2937,43.54
292.8966667,3246,47.89
293.8733333,3266,57.41
