"Depth","Age","TRSH"
1,-30,93.3774834437086
4,44,80.2547770700637
7,121,88.8888888888889
10,199,96.9230769230769
14,300,96.8152866242038
17,376,97.3770491803279
20,452,98.1538461538462
23,526,94.0983606557377
26,601,93.3774834437086
29,679,93.0693069306931
32,758,93.9799331103679
35,836,98.019801980198
39,937,97.1337579617834
43,1041,95.5414012738854
45,1093,94.6031746031746
48,1170,92.3333333333333
51,1248,91.1262798634812
54,1328,67.5675675675676
57,1407,74.1610738255034
60,1486,69.0789473684211
63,1564,72.0136518771331
66,1642,85.958904109589
69,1719,82.9268292682927
72,1795,36.2244897959184
75,1873,63.2958801498127
78,1951,17.5496688741722
81,2025,61.9718309859155
84,2093,48.0565371024735
88,2154,54.3543543543544
91,2192,59.4405594405594
94,2230,71.5753424657534
97,2267,78.4511784511784
101,2318,90.4069767441861
104,2354,92.0886075949367
107,2391,87.1287128712871
110,2429,90.6060606060606
113,2467,75.5102040816327
116,2505,93.4169278996865
119,2543,79.6610169491525
122,2581,87.7887788778878
125,2618,77.3648648648649
128,2655,73.3333333333333
131,2692,53.156146179402
134,2730,51.4950166112957
137,2767,57.7181208053691
140,2804,55.8528428093645
143,2841,50.1628664495114
146,2878,88.2154882154882
151,2939,57.9310344827586
153,2964,68.4210526315789
155,2989,75.2976190476191
157,3014,69.7802197802198
159,3039,61.3832853025937
160,3052,60.9427609427609
162,3076,87.905604719764
164,3100,83.8323353293413
166,3125,81.9767441860465
168,3149,80.5232558139535
170,3174,77.6162790697674
171,3184,79.0087463556851
172,3195,83.9506172839506
174,3217,74.2296918767507
177,3246,70.5882352941177
179,3264,68.7272727272727
180,3273,53.8961038961039
181,3283,56.508875739645
183,3302,51.0769230769231
185,3321,51.3931888544892
187,3339,51.7647058823529
189,3357,61.2121212121212
190,3366,48.1012658227848
191,3375,69.9059561128527
193,3393,52.8358208955224
199,3402,52.5679758308157
