"Depth","Age","TRSH"
0,0,51.8518518518519
5,90,51.8518518518519
10,179,45.4545454545455
20,358,34.297520661157
30,537,50.188679245283
40,716,53.3112582781457
60,1223,61.4285714285714
66,1383,48.3333333333333
75,1569,62.2222222222222
80,1648,62.4472573839662
110,2123,56.5217391304348
130,2461,52.5510204081633
150,2811,65.7142857142857
170,3162,55.1020408163265
180,3338,68.6015831134565
190,3513,62.751677852349
200,3689,67.6923076923077
210,3864,65.9090909090909
230,4217,68.9814814814815
240,4399,71.4953271028037
256,4691,58.2781456953642
270,4947,62.0535714285714
290,5312,53.7735849056604
312,5714,65.7534246575343
319,5842,65.7534246575343
340,6226,63.7781629116118
350,6408,73.2888146911519
362,6627,70.2970297029703
371,6792,72.6744186046512
372,6810,81.4516129032258
393,7193,61.2359550561798
