"Depth","Age","TRSH"
0,-32,66.9172932330827
10,-8,76.6304347826087
20,16,77.6623376623377
40,65,85.7142857142857
121,269,83.1978319783198
143,343,67.741935483871
160,410,75.2136752136752
200,589,69.6682464454976
258,849,21.0242587601078
300,1038,31.9261213720317
355,1283,23.936170212766
420,1576,39.2914653784219
460,1756,26.0770975056689
500,1934,32.5942350332594
565,2231,44.3396226415094
600,2389,58.4856396866841
695,2813,58.9164785553047
740,3017,64.5977011494253
780,3195,64.4444444444444
835,3446,58.7155963302752
860,3570,61.0497237569061
934,3945,68.433734939759
