"Depth","Age","TRSH"
114.5,471,78.7234042553192
124.5,539,85.1449275362319
134.5,606,64.7887323943662
144.5,674,85.7627118644068
154.5,742,72.6962457337884
164.5,809,53.5353535353535
174.5,877,75.1677852348993
184.5,945,68.8172043010753
194.5,1019,55.8620689655172
204,1108,43.3898305084746
214,1201,40.0673400673401
224,1294,37.7926421404682
234,1416,43.5810810810811
244,1576,52.901023890785
254,1736,55.7823129251701
264,1896,65.4109589041096
274,2019,66.3194444444444
279,2071,63.1399317406143
289,2177,55.1369863013699
299,2283,28.9752650176678
309,2388,43.9285714285714
319,2494,61.6487455197133
329,2599,55.4770318021201
339,2705,50.7246376811594
349,2871,31.5972222222222
351.5,2919,44.7183098591549
361.5,3111,40.7142857142857
371.5,3303,33.3333333333333
381.5,3495,53.3088235294118
391.5,3687,37.3239436619718
401.5,3879,53.8461538461538
411.5,4071,61.8181818181818
421.5,4264,50.3676470588235
431.5,4429,62.6865671641791
436,4473,68.6131386861314
446,4572,75.2895752895753
456,4671,38.3211678832117
466,4769,60
476,4868,35.5400696864112
486,4967,62.6415094339623
496,5066,66.7844522968198
506,5164,52.8985507246377
516,5261,37.2
525.625,5675,59.8615916955017
535.625,5811,52.4137931034483
545.625,5878,57.6923076923077
