"Depth","Age","TRSH"
1.53,821,48.9736070381232
10.2,984,81.8877551020408
20.4,1180,80.3125
30.61,1383,85.4508196721311
40.81,1580,84.7422680412371
47.95,1759,88.433734939759
51.01,1837,79.1044776119403
60.1,2094,80.4938271604938
70.2,2387,75.6476683937824
80.5,2687,87.467362924282
90.4,2968,84.4155844155844
101.01,3276,71.3947990543735
110.1,3541,73.4210526315789
120.2,3838,68.5964912280702
130.3,4051,77.5137111517367
140.4,4258,55.5813953488372
151.01,4473,51.4150943396226
160.02,4655,57.6419213973799
170.41,4865,68.75
180.61,5070,64.9122807017544
190.92,5282,68.2795698924731
201.03,5487,8.27814569536424
220.6,5876,80.5555555555556
230.93,6089,80.4195804195804
241.24,6298,77.8443113772455
247.42,6425,78.6096256684492
