"Depth","Age","TRSH"
2,51,41.1347517730496
4,90,54.0760869565217
5,108,43.9597315436242
7,146,64.021164021164
9,183,58.4664536741214
15,293,53.587786259542
20,386,55.6430446194226
25,478,53.5238095238095
28,533,65.5172413793103
30,569,46.4
36,686,57.8014184397163
40,763,66.3479923518164
43,846,52.9787234042553
53,1140,66.6666666666667
57,1259,44.6043165467626
60,1344,48.0662983425414
65,1489,46.606334841629
69,1611,55
70,1647,44.1908713692946
75,1862,58.2089552238806
77,1959,35.5029585798817
79,2056,55.8359621451104
81,2152,11.1111111111111
85,2345,50
87,2442,52.9850746268657
89,2548,56.6160520607375
90,2606,84.6153846153846
95,2893,29.4117647058824
100,3199,40.9090909090909
103,3379,68.9243027888446
107,3615,57.7092511013216
110,3787,63.8297872340425
113,3934,63.5258358662614
114,3969,54.8611111111111
118,4158,45.5026455026455
124,5281,73.7051792828685
130,5535,68.75
135,5738,62.6262626262626
