"Depth","Age","Influx"
"0.05","-262","4045.281721"
"0.15","-53","82.25656341"
"0.25","2518","13309.7102"
"0.35","4324","278.1898844"
"0.45","5311","326.8808427"
"0.57","7862","0"
"0.65","12719","0"
"0.75","18754","15.25472003"
"0.85","23624","5126.190856"
"0.95","27365","44.99610267"
"1.05","30620","44130.17253"
"1.15","30885","214.8341649"
"1.25","31524","6245.282746"
"1.35","33363","0"
"1.45","36435","6696.753848"
"1.55","39458","281.9837343"
"1.65","39975","0"
"1.75","40527","163.7057643"
"1.85","41406","0"
"1.95","42405","461.6486713"
"2.05","43366","299.6437817"
"2.15","44749","164.0551442"
"2.25","46077","2724.908073"
"2.35","47280","114.7861023"
"2.45","48557","707.9334152"
"2.55","49838","153.674793"
"2.65","51105","497.5716179"
"2.75","52402","100.689962"
"2.85","53714","4826.8344"
"2.95","55014","0"
"3.05","56259","906.5843105"
"3.15","57616","633.5286943"
"3.25","58893","4280.155726"
"3.35","60152","0"
"3.45","61471","4780.901842"
"3.55","62804","619.003385"
"3.65","64100","2140.3037"
"3.75","65383","87.458747"
"3.85","66653","3988.006691"
"3.95","67907","61.29975999"
"4.05","69252","2921.254079"
"4.15","70520","0"
"4.25","71780","2796.889701"
"4.35","73100","0"
"4.45","74490","5178.860044"
"4.55","75852","104.0263965"
"4.65","77282","2699.92742"
"4.75","78708","668.4398535"
"4.85","80024","717.7029423"
"4.95","81507","0"
"5.05","82879","121.1042357"
"5.15","84269","149.0563087"
"5.25","85676","177.306173"
"5.35","87050","47.1341344"
"5.45","88570","44.5708286"
"5.55","89937","0"
"5.65","91376","91.81404183"
"5.75","92849","0"
"5.85","94248","0"
"5.95","95661","0"
"6.05","97095","136.5302167"
"6.15","98533","108.119782"
"6.25","99905","44.41563591"
"6.35","101336","106.0657331"
"6.45","102672","266.4483805"
"6.55","104066","0"
"6.65","105541","778.0215396"
"6.75","107055","50.08885994"
"6.85","108442","190.2451544"
"6.95","109829","37.72789935"
"7.05","111249","570.2872973"
"7.15","112574","49.83855967"
"7.25","113996","384.8674538"
"7.35","115350","0"
"7.45","116858","203.9531591"
"7.55","118277","159.1022689"
"7.65","119623","212.2787125"
"7.75","121088","1046.88903"
"7.85","122433","486.2281107"
"7.95","123790","334.7322841"
"8.05","125231","172.7815727"
"8.15","126484","237.9174444"
"8.25","127885","0"
"8.35","129203","251.1068325"
"8.45","130528","615.0598694"
"8.55","131754","222.0484661"
"8.65","133086","947.2871085"
"8.75","134341","768.2968545"
"8.85","135676","1663.975167"
"8.95","137119","225.4171596"
"9.05","138438","1414.240813"
"9.15","140095","870.6312502"
"9.25","141654","293.9648116"
"9.35","143178","2760.066499"
"9.45","144720","158.6361103"
"9.55","146139","2272.346011"
"9.65","147766","643.9578823"
"9.75","149266","244.8415205"
"9.85","150776","1462.79918"
"9.95","152343","1489.772605"
"10.05","153854","829.7746295"
"10.15","155458","702.6098958"
"10.25","156968","378.0610742"
"10.34","158390","238.490437"
"10.45","160129","335.7408047"
"10.55","161709","102.5573949"
"10.65","163158","139.1252414"
"10.75","164776","2904.345247"
"10.85","166311","1408.354343"
"10.95","167841","992.1886844"
"11.05","169285","1935.261178"
"11.15","170920","800.7674959"
"11.21","171932","1160.743567"
"11.25","172544","1184.857265"
"11.35","174079","812.1754946"
"11.45","175702","1447.659936"
"11.54","177134","1443.951192"
"11.6","178168","951.0886287"
"11.64","178814","508.9884426"
"11.74","180412","1540.234661"
"11.84","181981","860.5695297"
"11.94","183574","714.8160727"
"12.05","185332","1558.706348"
"12.07","185629","1218.95652"
"12.15","187037","1160.284472"
"12.17","187370","1256.453"
"12.25","188657","1133.673224"
"12.35","190230","558.2925111"
"12.45","191867","856.1247071"
"12.55","193508","372.1506766"
"12.65","195121","814.4267978"
"12.75","196695","657.2398264"
"12.81","197654","1274.337458"
"12.85","198289","530.7933646"
"12.95","199844","249.0301849"
"13.05","201358","804.6907531"
"13.15","203012","1130.452797"
"13.19","203599","2990.80147"
"13.25","204673","913.030071"
"13.35","206333","1812.436719"
"13.45","207989","574.5064374"
"13.55","209541","354.3559867"
"13.65","211235","1156.290431"
"13.75","212939","550.3582082"
"13.84","214383","777.3736131"
"13.86","214764","359.0052685"
"13.94","215952","51.28646693"
