Depth,Age,Influx
0,-43,28.75612999
0.04572,51,17.78676384
0.092412,148,16.22595936
0.13716,255,8.813025692
0.18677,385,5.305273642
0.233463,572,4.19588312
0.259728,705,6.042666609
0.290856,843,4.493112991
0.316148,1077,2.326517667
0.340467,1386,2.993275955
0.36284,1676,4.125628955
0.383268,1923,4.401907652
0.40856,2199,4.586853333
0.423152,2343,4.239593692
0.434825,2460,3.550581659
0.461089,2747,7.367385668
0.487354,2994,4.129272635
0.512646,3441,1.782652986
0.532101,3935,1.45878469
0.55642,4551,2.745622972
0.583658,5220,4.076733351
0.598249,5587,3.871941231
0.599222,5613,3.93758985
0.610895,6032,4.901035072
0.624514,6530,4.053972252
0.640078,7101,2.581925113
0.64786,7385,2.88674324
0.652724,7564,4.127466288
0.685798,8778,11.38439877
0.711089,9328,13.0386097
0.734436,9383,14.47302025
0.783074,9487,12.06933235
0.829767,9617,15.16859658
0.884241,9792,2.072987751
0.933852,12246,2.305167858
0.987354,16041,5.511779874
1.038911,17389,14.6095699
1.083658,17870,11.97001837
1.132296,18388,14.86790318
1.182879,18894,9.45944967
1.209144,19348,5.328851234
1.235409,20204,11.78193763
1.282101,21705,13.89099339
1.332685,22657,15.91936393
1.394942,23282,12.97475724
