Depth,Age,Influx
7.261419574,119,848460.6886
11.20391477,162,501014.5375
15.60749087,231,541350.0147
19.42888896,296,908354.3411
23.72107941,359,649047.933
27.54118264,417,1104509.523
31.71162857,475,1179842.798
35.42682046,532,908185.7748
39.25469286,582,459994.9435
42.95369899,655,1079902.505
47.2491266,735,438916.7261
50.84581111,843,363149.7121
54.77471026,948,954287.0077
58.9581048,1048,475884.7344
63.01392793,1148,433023.5063
67.1811367,1274,1000739.166
71.5911871,1359,381043.3704
74.9476197,1480,983460.972
78.88234573,1557,1132716.844
83.30340246,1659,290043.7748
87.01276748,1772,249612.7073
90.72213249,1903,326145.7643
94.65297394,2009,665195.7269
98.94710668,2137,323707.4448
102.7788637,2306,221211.4094
106.6028515,2433,353826.6197
111.0319959,2542,444309.9995
115.0371778,2699,560617.77
118.6954646,2819,1455831.196
122.7183603,2911,205835.5202
126.0680161,3161,2382896.832
130.0592135,3465,2138861.87
133.6457132,3796,3584870.287
138.3484145,4175,2997513.414
142.2631236,4512,1988700.124
146.3093267,4873,1283429.671
150.2847147,5290,3679706.5
154.2143406,5659,2743940.02
158.4349236,6042,3193279.325
162.6070269,6301,1837640.847
165.9463877,6663,1973319.213
169.5207676,7022,2408208.281
173.6107888,7536,1630634.27
177.5749495,8054,2054230.288
181.5586885,8554,1603843.627
185.5443318,9254,4057154.657
189.8656032,9767,2025461.533
193.6982699,10379,2609401.625
197.7817651,10896,2180535.726
201.5220943,11321,2085595.678
205.6667293,11669,1995258.935
209.517969,12203,1873118.436
213.6458234,12800,1201843.003
217.1855431,13467,2109025.573
221.9915377,14143,3921758.968
225.7151816,14426,4523005.729
229.6080392,14574,3608004.133
234.4368564,14737,2574313.544
238.0571269,14876,1948648.364
241.6935074,15031,2029836.803
245.5434046,15126,910809.6675
249.4040419,15320,839466.4182
253.2391715,15457,1216765.986
258.0559061,15621,1058086.996
262.1367726,15742,857030.4742
265.7422754,15898,1084323.234
269.6042552,16030,575855.3265
273.6952064,16171,701100.196
277.8919958,16348,320434.1885
