Depth,Age,Influx
0.639593131,21,47104.04364
3.242419555,86,115718.6549
6.291202346,151,88810.96422
9.773865969,225,72666.3498
11.9501486,270,65939.42713
15.28609626,338,64594.04259
18.33273908,395,56521.73539
21.37647766,456,74011.73434
23.98801681,512,65939.42713
27.17908277,572,63248.65806
30.51487758,638,63248.65806
33.26762992,690,88810.96422
35.59093421,746,64594.04259
39.21878525,906,47104.04364
42.41244974,1203,21541.73749
45.21729187,1481,14142.12255
48.11798301,1817,14142.12255
51.50033936,2189,29838.27545
54.27889458,2518,41049.81324
56.9400269,2818,21990.199
60.56589082,3285,21990.199
63.10488722,3624,14142.12255
65.88382457,3967,21990.199
68.90244812,4318,47776.73591
72.6501932,4708,38807.50568
75.30916008,5004,38807.50568
78.57332926,5336,30959.42923
81.47198233,5585,48897.88969
84.37458415,5792,32080.58301
86.91001394,5930,55624.81236
90.0514103,6070,64594.04259
93.31456045,6239,65715.19637
95.7328221,6359,56745.96614
98.99711866,6555,47776.73591
102.0101375,6710,122894.0391
105.2790197,6873,73563.27282
107.697154,6996,65715.19637
111.324037,7179,56745.96614
114.3417689,7339,90380.57951
116.7553175,7448,122894.0391
119.7826028,7602,72442.11905
122.8013537,7763,97107.50218
125.9456798,7942,80290.1955
128.964176,8101,107197.8862
131.8516197,8268,223797.8792
134.7553679,8447,196890.1885
137.5465337,8621,97107.50218
141.4119564,8846,116167.1164
144.0682483,9009,139711.3458
146.9689395,9193,139711.3458
150.1007824,9385,232767.1094
153.1196607,9556,256311.3388
155.8895541,9717,343761.3335
158.5514507,9880,317974.7966
162.0700821,10101,198011.3423
164.9315405,10281,543326.7061
167.731368,10432,367305.5629
170.9974479,10614,342640.1797
174.3815875,10811,342640.1797
175.8484924,10910,196890.1885
177.775408,11056,257432.4926
180.1986374,11217,204738.2649
182.3693154,11344,247342.1085
183.9563181,11439,108319.04
185.7751095,11532,56745.96614
187.8335871,11627,23111.35278
189.6379846,11701,98228.65596
192.1772358,11789,88138.27195
193.9927153,11858,65715.19637
195.9293117,11923,41049.81324
197.7376581,11975,81411.34928
199.5517364,12034,71320.96527
202.3170442,12105,199132.4961
204.1194037,12156,292188.2597
206.0377849,12204,427847.8669
207.8592513,12251,352730.5637
210.2789141,12309,331428.642
212.2077404,12357,375153.6393
213.8956068,12397,412151.714
215.8353877,12463,359457.4864
