"Depth","Age","TRSH"
1,149,59.4936708860759
3,341,56.8733153638814
5,470,58.3038869257951
8,660,47.5206611570248
10,723,46.9973890339426
12,785,59.7765363128492
17,907,73.2696897374702
18,968,86.1271676300578
22,1088,70.0440528634361
25,1147,69.1919191919192
27,1295,75.593220338983
30,1442,50
32,1525,52.7173913043478
34,1721,57.1969696969697
39,2026,54.8262548262548
41,2119,55
45,2802,54.7169811320755
48,3607,59.1911764705882
50,4122,76.2820512820513
52,4346,66.7774086378737
55,4627,69.8412698412698
57,5351,71.6535433070866
61,8028,61.3888888888889
64,8651,49.4652406417112
68,9266,31.6614420062696
72,10360,11.7437722419929
75,10903,6.49087221095335
77,11450,33.2935560859189
79,11988,11.4525139664804
84,13603,12.6829268292683
86,14659,13.7844611528822
90,17226,12.9770992366412
93,19921,7.64587525150905
95,20954,26.3333333333333
97,21504,37.2670807453416
99,22062,28.9959016393443
102,23101,32.8185328185328
106,23556,28.1995661605206
108,24029,31.5447154471545
113,24513,62.109375
115,25007,70.7826086956522
118,26002,88.1118881118881
120,26503,89.9328859060403
122,27505,88.3905013192612
124,28001,89.3982808022923
129,30135,88.2352941176471
131,30226,78.9173789173789
135,30444,88.3468834688347
137,30539,81.9354838709677
139,30632,83.1643002028398
142,30736,58.195211786372
144,30791,31.4748201438849
146,30918,38.0434782608696
151,31366,37.0629370629371
153,31754,23.8095238095238
158,32540,16.7673716012085
162,32937,17.6056338028169
164,33317,42.5465838509317
167,33697,21.3457076566125
169,33882,19.1709844559585
182,35736,13.6222910216718
187,36729,12.9746835443038
189,36991,15.5778894472362
191,37796,20.3155818540434
194,38589,18.1818181818182
200,39845,12.1621621621622
205,40133,23.7394957983193
207,40252,30.3964757709251
209,40373,18.8087774294671
211,40495,19.6521739130435
214,40689,23.7322515212982
221,41215,12.9139072847682
223,41416,15.4373927958834
227,41777,33.8533541341654
229,41952,39.6135265700483
232,42202,35.0710900473934
234,42365,31.201044386423
236,42513,54.7101449275362
239,42747,82.3027718550107
243,43276,57.8397212543554
245,43543,49.7053045186641
250,44160,62.7272727272727
252,44388,67.5461741424802
254,44607,65.4838709677419
256,44818,79.4642857142857
258,45011,75.1984126984127
263,45648,73.037542662116
265,45923,62.012987012987
270,46591,52.4590163934426
275,47209,55.3459119496855
279,47678,51.6528925619835
288,48830,58.3815028901734
297,49942,71.6666666666667
302,50549,78.8793103448276
310,51589,82.6210826210826
312,51858,68.5534591194968
316,52359,23.7341772151899
319,52700,36.9565217391304
321,52957,39.7222222222222
323,53201,48.8431876606684
325,53462,31.0513447432763
328,53827,44.2125237191651
332,54298,27.2289156626506
334,54530,28.2608695652174
341,55395,33.2552693208431
343,55662,34.8958333333333
346,56049,46.3414634146341
348,56294,28.0660377358491
350,56561,46.3888888888889
356,57310,19.5195195195195
359,57682,28.1159420289855
363,58173,28.5097192224622
365,58421,35.6828193832599
368,58818,27.4151436031332
370,59077,49.3506493506493
372,59340,27.8443113772455
374,59608,26.2472885032538
379,60280,32.4503311258278
381,60531,27.299703264095
386,61126,27.2506082725061
388,61376,30.4136253041363
390,61633,31.6483516483516
394,62137,18.1818181818182
401,63007,23.109243697479
406,63640,25.0836120401338
410,64180,29.7208538587849
412,64431,24.1469816272966
414,64707,39.4990366088632
416,64968,33.8181818181818
420,65470,37.0179948586118
422,65720,33.0838323353293
426,66210,36.1111111111111
428,66486,31.4285714285714
440,68100,42.8191489361702
442,68327,31.9410319410319
444,68560,37.3720136518771
446,68803,36.5384615384615
450,69298,36.5671641791045
456,70040,55.2238805970149
460,70530,55.4794520547945
464,71036,68.6224489795918
467,71415,87.4570446735395
469,71684,87.3595505617977
471,71937,86.8347338935574
476,72574,48.8304093567251
478,72818,59.468438538206
482,73331,46.1832061068702
485,73709,57.0135746606335
487,73979,57.6811594202899
489,74201,62.589928057554
491,74450,51.0471204188482
493,74690,67.3151750972763
501,75684,19.8443579766537
505,76220,40.4517453798768
508,76615,40.5940594059406
510,76888,46.415770609319
514,77417,55.8303886925795
516,77681,37.2703412073491
520,78199,60.6299212598425
523,78600,53.0487804878049
527,79137,65.979381443299
529,79415,55.3054662379421
531,79688,49.9197431781701
536,80337,70.3592814371257
538,80596,49.8069498069498
543,81240,63.3333333333333
550,82172,50.2824858757062
554,82674,82.5037707390649
557,83031,85.1351351351351
559,83273,86.4902506963788
561,83535,76.1160714285714
565,84041,85.1393188854489
572,84977,78.3236994219653
577,85630,86.9662921348315
579,85862,80.9523809523809
581,86114,89.1252955082742
583,86380,94.2953020134228
588,87034,87.3536299765808
590,87303,89.8461538461538
595,87950,86.1035422343324
600,88603,74.2351046698873
602,88874,48.394495412844
604,89122,62.6865671641791
610,89893,60.3053435114504
613,90268,54.2763157894737
617,90818,50.1529051987768
622,91490,50.6535947712418
626,92038,72.0930232558139
628,92318,62.9496402877698
633,92997,59.0551181102362
635,93275,68.5
640,93945,53.0201342281879
649,95115,63.3898305084746
651,95381,58.8014981273408
655,95916,63.8297872340426
666,97321,68.8
669,97690,76.969696969697
671,97949,54.4715447154472
673,98208,72.1238938053097
678,98849,91.0852713178295
689,100226,79.4964028776978
691,100509,61.9047619047619
693,100779,71.2166172106825
695,101068,81.3333333333333
700,101727,82.8571428571429
707,102649,82.0512820512821
711,103196,86.7768595041322
718,104102,95.1086956521739
720,104327,96.3254593175853
726,105107,75.6380510440835
728,105373,84.366576819407
732,105889,62.8398791540786
736,106384,79.3478260869565
740,106874,63.0922693266833
742,107127,90.948275862069
746,107698,63.8728323699422
752,108500,75.3289473684211
