"Depth","Age","TRSH"
0,582,48.8888888888889
10,1952,46.031746031746
20,3316,34.0425531914894
30,5186,44.0860215053763
40,6244,34.8314606741573
50,7171,36.8421052631579
60,8100,31.8681318681319
70,12928,34.0659340659341
80,13646,33.3333333333333
90,14101,23.469387755102
100,14562,34.7368421052632
110,15613,18.0851063829787
120,17356,21.3541666666667
130,19227,20.5882352941176
140,21048,16.8367346938776
150,22267,21.0810810810811
160,22710,17.989417989418
170,24452,24.2105263157895
180,27971,21.5384615384615
190,28525,19.2708333333333
200,32443,21.4659685863874
220,36336,24.3386243386243
250,38884,30.5263157894737
290,41226,34.375
330,44136,29.5918367346939
370,47297,28.8659793814433
410,50464,31.5789473684211
450,53677,19.3877551020408
490,56837,29.7872340425532
530,59983,32.1428571428571
570,63126,29.6875
610,66308,30.1587301587302
650,69499,30.1587301587302
690,72910,24.0837696335079
730,76362,29.8429319371728
770,79869,29.5336787564767
