"Depth","Age","TRSH"
0,-55,52.9411764705882
10,24,60.9677419354839
20,102,66.3366336633663
30,181,59.8039215686275
40,259,15.6146179401993
50,338,52.1172638436482
60,412,29
70,481,24.6666666666667
80,551,6.90789473684211
90,620,8.30564784053156
100,689,15.6549520766773
110,759,10
120,828,12.3778501628664
130,897,3.97350993377483
140,967,5.66666666666667
150,1036,9.93377483443709
160,1105,8.22368421052632
170,1175,7.26072607260726
180,1244,7.26072607260726
190,1313,15.0501672240803
200,1383,28.8590604026846
210,1452,18.0327868852459
220,1521,25.8741258741259
230,1591,24.7491638795987
240,1711,32.4324324324324
250,1883,32.6732673267327
260,2055,26.0135135135135
270,2227,21.8430034129693
280,2399,23.7458193979933
290,2571,22.4080267558528
300,2743,28.2312925170068
310,2915,29.6416938110749
320,3087,31.3993174061433
330,3259,24.6621621621622
340,3431,19.3877551020408
350,3603,25.3521126760563
360,3775,31.6725978647687
370,3947,35.9861591695502
380,4119,42.9090909090909
390,4291,30.3249097472924
400,4463,23.6933797909408
410,4635,28.673835125448
420,4807,34.6020761245675
430,4979,23.5087719298246
440,5151,30.2816901408451
450,5323,35.0340136054422
460,5438,30.9859154929577
470,5494,34.1726618705036
480,5551,43.205574912892
490,5608,43.4628975265018
500,5665,43.9446366782007
510,5722,43.006993006993
520,5779,46.1805555555556
530,5835,38.3802816901408
540,5892,43.343653250774
550,5949,27.6094276094276
560,6006,46.875
570,6063,44.4067796610169
580,6120,29.5774647887324
590,6176,47.6868327402135
600,6233,40.4605263157895
610,6290,40.1459854014599
620,6347,49.4736842105263
630,6404,40.0735294117647
640,6461,42.3357664233577
650,6517,49.814126394052
