"Depth","Age","TRSH"
0,-44,27.1676300578035
10,259,25.8726899383984
15,405,31.0756972111554
20,554,29.6812749003984
25,702,23.4496124031008
30,852,30.2231237322515
35,1006,28.1947261663286
40,1158,26.8191268191268
45,1303,26.008064516129
50,1482,18.2773109243697
55,1771,19.9570815450644
60,2063,18.801652892562
65,2361,23.6625514403292
70,2662,21.4137214137214
75,2988,19.9619771863118
80,3583,17.1370967741935
85,4231,11.7647058823529
90,4860,9.56022944550669
95,5535,7.6
100,6182,5.27306967984934
105,6839,4.59770114942529
110,7487,8.92494929006085
115,8181,9.00195694716243
120,8845,9.2485549132948
125,9532,8.6105675146771
130,10146,8.26771653543307
135,10727,5.35372848948375
140,11107,3.60531309297913
145,11499,3.52941176470588
150,11887,4.04624277456647
155,12272,6.37450199203187
160,12663,5.75815738963532
165,13050,4.87329434697856
170,13440,5.16252390057361
175,13829,5
180,14206,4.82625482625483
185,14598,5.42168674698795
