"Depth","Age","TRSH"
0,-39,41.9166666666667
8,-14,38.1617647058824
16,128,29.1168091168091
20,257,38.2778581765557
24,386,34.0746054519369
28,516,39.0205371248025
32,645,35.0470673425054
36,774,39.9014778325123
40,903,37.2144436256448
44,1093,18.8178077066966
48,1465,19.4466403162055
56,2208,17.0648464163823
64,2952,18.75
72,3695,13.9620504106485
80,4438,15.7207890743551
88,5182,22.778297474275
96,5925,28.0628272251309
104,6669,21.4718614718615
112,7412,25.6889763779528
120,8156,30.516717325228
128,8899,31.6022799240025
136,9642,24.9875311720698
144,10386,13.1865284974093
