Depth,Age,TRSH
0.32,-43,22.68
3.21,51,36.85
5.08,148,43.93
9.88,255,53.53
17.45,385,54.4
23.32,572,57.35
27.74,705,57.79
30.47,843,59.46
32.58,1077,56.14
34.25,1386,58.65
35.94,1676,56.99
38.06,1923,53.67
39.95,2199,53.27
41.65,2343,49.53
43.11,2460,51.62
44.57,2747,55.37
46.89,2994,55.38
49,3441,52.06
51.97,3935,45.42
54.27,4551,50.01
57.27,5220,33.37
59.23,5587,15.06
60.47,5613,21.31
62.57,6032,20.9
64.25,6530,23.41
65.73,7101,19.25
66.78,7385,20.51
68.06,7564,16.77
69.33,8778,13.03
71.42,9328,16.37
74.15,9383,17.21
78.98,9487,18.9
85.1,9617,13.11
89.51,9792,15.21
92.45,12246,16.06
99.83,16041,11.1
104.26,17389,6.96
109.08,17870,11.56
113.27,18388,17.41
118.54,18894,14.94
121.95,19348,2.46
124.05,20204,3.31
128.68,21705,2.08
134.99,22657,1.28
140.86,23282,5.47
