Depth,Age,TRSH
0,955,86.379
8.8309,1380,89.695
19.289,1922,88.188
29.051,2381,92.407
38.812,2693,90.9
47.179,2942,80.652
58.334,3247,92.709
68.096,3490,91.805
78.554,3779,93.914
89.013,4091,87.886
97.38,4344,89.393
119.69,5021,86.078
138.52,5597,79.447
155.25,6082,71.007
180.35,6770,63.171
199.18,7106,58.047
229.16,7634,61.362
238.92,7799,68.898
259.14,8134,59.253
278.66,8425,64.376
319.8,9518,65.883
328.86,9734,68.596
340.02,10009,61.664
360.24,10500,69.199
369.3,10726,64.075
379.76,10989,66.788
390.22,11296,59.253
399.98,11605,60.76
410.44,11928,64.075
421.59,12283,59.855
430.66,12563,48.1
440.42,12919,59.253
451.57,13356,60.157
460.64,13707,62.568
469,14018,54.731
474.58,14224,60.76
481.56,14477,43.881
490.62,22301,15.85
496.2,22558,19.467
500.38,22764,8.6159
511.54,23301,13.74
515.02,23470,12.534
521.3,23758,14.946
524.78,23936,8.6159
529.66,24167,15.85
535.24,24391,16.151
540.12,24589,28.81
548.49,24900,23.686
556.16,25193,27.605
561.04,25376,23.084
565.22,25531,25.796
576.38,26081,20.974
