"Depth","Age","TRSH"
0,-39,88.4057971014493
20,15,51.6450648055833
40,69,43.9353099730458
60,124,43.160577740017
80,178,22.2222222222222
100,232,30.4863582443654
120,286,28.5072951739618
140,3610,63.2972322503008
160,3772,62.1923937360179
180,3934,71.041948579161
200,4096,77.8541953232462
220,4231,41.2698412698413
240,4237,31.25
260,4243,36.526533425224
280,4250,32.625
300,4256,42.9383116883117
320,4262,53.7362637362637
340,4289,41.9917012448133
360,4335,42.3175965665236
380,4381,40.8681408681409
400,4427,43.2862190812721
420,4472,38.0699088145897
440,4518,48.345035105316
460,4564,46.9407265774379
470,4587,52.4498886414254
480,4610,86.1480075901328
485,4622,62.3853211009174
490,4633,55.4054054054054
495,4644,59.9033816425121
500,4656,82.6446280991736
505,4667,93.3212996389892
510,4679,96.4973730297723
515,4690,85.7397504456328
520,4702,76.2075134168157
525,4713,87.8892733564014
530,4725,91.2639405204461
540,4748,92.5788497217069
550,4771,95
560,4793,95.9633027522936
570,4816,81.1912225705329
580,4839,52.7196652719665
