"Depth","Age","TRSH"
0,800,45.0511945392491
8,966,15.9415971394517
16,1132,16.6978776529338
24,1297,17.6115397517612
28,1380,21.8528368794326
32,1463,18.4751660866814
40,1629,16.4191650322219
44,1712,17.7210639827462
48,1795,11.719192300434
56,1960,12.3345588235294
64,2126,14.7690787848852
72,2292,10.3061587753649
80,2570,9.47417548226509
88,2994,6.66235446313066
96,3418,8.719646799117
104,3841,7.70715565972701
112,4265,6.50477016478751
120,4689,5.13812154696133
128,5112,5.52132117328075
136,5536,6.54709827938174
144,5960,6.65818490245971
152,6384,7.35780423280423
160,10021,5.22613065326633
168,10186,4.66621253405995
176,10352,5.28541226215645
184,10517,5.91910042167734
188,10600,7.01703725093849
192,10683,9.01883052527255
200,10848,7.00903680846374
208,11014,4.69357249626308
