Depth,Age,TRSH
0,-38,31.38820639
4,399,31.61856964
8,863,30.08130081
12,1334,29.1152815
16,1798,28.7254902
20,2260,38.0071599
24,2735,38.85236103
28,3202,60.16260163
30,3437,58.00835655
32,3736,65.94323873
36,4469,75.09803922
40,5578,80.49281314
44,6740,71.66666667
46,7258,69.94727592
48,7717,62.66556291
52,8455,21.83716075
56,9010,28.31703035
60,9552,17.22634104
64,10067,11.80920037
68,10499,12.04399889
72,10894,13.86509636
76,11281,12.48845799
80,11657,14.55108359
84,12046,12.05479452
88,12434,10.38020519
92,12825,11.13336003
96,13219,10.1018011
99,13506,9.396914446
104,13993,8.705035971
109,14479,11.36273341
112,14770,11.12339673
117,15259,11.02172164
120,15549,8.905461724
125,16040,10.02982849
128,16327,9.234629862
131,16618,7.290617494
136,16915,7.958050586
