Depth,Age,TRSH
0,-36,83.496
0.51328,-27,86.398
1.9384,0,78.754
2.4993,10,83.585
4.3777,41,75.806
4.5023,43,85.691
5.7407,62,71.371
6.8327,80,77.48
8.8243,114,76.277
9.0168,117,79.498
11.283,152,79.126
11.858,160,61.663
12.772,175,71.44
13.71,190,84.274
15.392,216,86.634
17.465,250,91.7065
19.218,279,91.2818
20.274,296,89.516
20.746,302,87.345
22.052,322,88.805
23.018,339,85.887
24.463,363,86.483
25.536,380,82.195
26.633,397,84.487
27.854,419,89.516
28.874,439,85.484
30.055,457,77.197
31.686,490,76.631
34.045,531,76.843
34.776,543,72.906
36.397,582,74.933
37.624,612,62.246
39.428,654,59.486
44.491,771,54.338
47.033,827,54.867
50.764,911,53.148
52.065,936,51.619
54.743,999,45.808
55.127,1019,34.472
56.591,1165,29.839
58.009,1299,28.503
58.984,1388,24.194
60.747,1577,22.572
61.603,1697,18.453
62.89,1869,23.337
64.158,2037,22.7
65.527,2208,23.387
66.506,2326,19.621
67.256,2422,25
68.788,2609,18.623
69.582,2704,17.179
70.682,2825,19.355
71.577,2923,16.914
71.928,2964,21.092
72.781,3061,24.292
73.402,3134,20.152
74.055,3213,25.354
75.491,3365,25.97
75.578,3375,19.833
77.418,3567,27.159
78.65,3703,16.075
79.029,3749,21.001
81.39,4166,21.638
83.554,4613,17.816
85.36,4987,15.374
87.538,5558,15.481
89.71,6085,14.1
91.705,6657,13.782
93.813,7343,14.76
96.075,7936,18.241
98.071,8455,18.326
99.875,8917,15.374
102.23,9514,13.57
104.04,10068,13.782
106.4,10696,13.463
108.21,11161,13.357
112.2,12905,11.446
114.37,14063,10.385
116.37,15250,10.385
118.36,16588,9.535
120.53,17856,8.686
122.52,19079,6.35
124.82,20368,5.713
125.78,21014,3.378
127.42,22321,5.395
129.29,23761,5.147
130.98,24942,4.793
132.86,26157,3.909
134.13,26946,3.909
136.12,28139,4.386
137.85,29200,4.333
139.39,30224,5.767
141.75,31248,6.181
142.72,31593,6.421
144.66,32355,7.943
145.57,32657,7.837
147.45,33158,8.261
148.66,33431,9.111
150.22,33773,7.341
151.55,34128,6.563
154.28,34812,8.049
155.55,35118,8.969
157.19,35563,9.217
158.46,35915,9.111
160.03,36312,8.898
162.44,36965,7.465
164.19,37465,9.429
166.26,37983,10.65
168.18,38495,9.875
169.88,38940,8.474
171.33,39299,8.049
173.87,39969,8.368
175.63,40417,7.837
178.59,41124,7.731
180.1,41505,8.474
180.78,41602,11.234
182.05,41767,10.809
184.34,42045,9.818
185.91,42254,9.111
187.24,42447,8.686
188.76,42659,9.323
189.85,42805,10.809
191.13,42988,11.987
192.01,43112,6.904
193.79,43379,6.981
195.64,43644,7.859
197.56,43914,8.609
199.41,44176,11.273
200.44,44316,8.677
201.65,44500,7.491
203.09,44716,11.022
203.29,44745,14.79
206.25,45145,14.844
207.82,45368,13.428
209.82,45645,14.737
210.73,45815,14.207
