Depth,Age,TRSH
71.861,14392,60.45
81.283,16616,45.202
90.819,19054,38.525
101.93,21344,29.942
112.52,23131,41.835
129.29,26139,36.103
142.1,28369,34.661
152.56,30220,37.031
162.17,31931,35.592
171.03,33416,37.964
183.11,34461,42.237
191.86,35257,36.037
203.23,36338,46.501
212.05,37145,46.492
220.74,37990,36.959
233.52,39211,32.659
241.59,39948,36.46
272.9,42911,38.332
282.46,43777,33.56
292.2,44678,41.645
302.66,45676,44.015
312.24,46574,40.671
321.81,47472,36.852
332.32,48492,43.031
340.25,49261,35.88
351.5,50431,37.773
361.15,51403,39.191
371.58,52466,39.18
382.8,53593,38.692
392.42,54571,38.206
402.15,55574,46.291
411.86,56554,51.995
422.11,57635,39.127
428.55,58319,40.548
441.39,59626,41.011
453.48,60847,45.76
461.56,61657,50.037
471.13,62569,45.741
481.6,63636,49.064
491.14,64600,42.387
