Depth,Age,TRSH
1.9101,-8,58.082
5.875,58,61.222
10.261,119,75.114
13.197,162,82.733
17.689,231,81.841
21.657,296,84.532
25.612,359,89.016
29.59,417,90.363
33.59,475,88.574
37.533,532,92.23
41.004,582,90.937
45.325,655,91.718
48.791,735,90.943
53.105,843,92.762
57.141,948,93.024
61.176,1048,93.546
64.907,1148,96.142
69.529,1274,95.109
72.733,1359,90.704
77.33,1480,93.3
80.209,1557,94.081
84.237,1659,95.38
88.305,1772,91.235
92.643,1903,89.683
96.086,2009,92.279
99.834,2137,92.541
104.77,2306,88.138
108.79,2433,90.993
112.25,2542,90.996
117.18,2699,86.333
120.96,2819,83.225
124.15,2911,80.375
128.48,3161,39.932
132.56,3465,34.231
136.37,3796,25.938
141,4175,23.867
144.71,4512,29.056
148.49,4873,24.651
152.86,5290,18.432
156.91,5659,17.139
160.93,6042,19.476
164.14,6301,14.553
168.75,6663,15.075
172.51,7022,13.263
177.1,7536,16.638
180.58,8054,14.566
183.75,8554,14.569
188.68,9254,10.684
192.43,9767,11.465
196.77,10379,8.8756
200.8,10896,10.435
204.54,11321,11.475
207.43,11669,11.477
211.77,12203,9.6658
216.08,12800,11.225
220.14,13467,8.3764
224.74,14143,10.973
228.19,14426,12.013
231.63,14574,14.868
235.95,14737,16.168
239.99,14876,15.653
244.33,15031,14.101
246.93,15126,12.547
252.1,15320,16.44
255.88,15457,12.036
260.22,15621,10.743
263.67,15742,11.524
267.98,15898,14.639
271.73,16030,14.123
275.81,16171,7.904
280.12,16348,11.019
