Depth,Age,TRSH
0,-29,6.604
20.447,282,15.094
28.701,404,16.038
37.629,529,15.094
48.606,692,12.264
60.29,862,12.264
67.869,971,15.094
74.778,1075,20.283
82.286,1181,12.736
92.595,1329,12.736
108.37,1586,8.019
127.61,2295,7.075
132.4,2475,4.717
140.22,2780,8.726
149.37,3124,6.761
156.81,3402,6.368
164.81,3928,2.83
172.85,4590,6.761
180.27,5208,2.044
189.46,5956,6.761
222.67,8771,5.189
231.24,9491,1.651
235.26,9833,3.616
239.25,10169,1.258
247.29,10832,3.616
255.29,11467,1.258
259.31,11800,3.616
263.31,12084,1.258
267.9,12505,3.223
275.33,13250,1.258
279.35,13717,2.83
282.2,14037,0.865
290.25,14949,4.403
294.23,15409,1.258
298.26,15873,4.009
326.9,19212,4.009
331.47,19739,1.651
334.9,20150,2.044
339.5,20657,4.009
346.93,21537,1.651
351.52,22070,3.223
354.37,22373,1.651
358.4,22854,4.009
365.84,23719,3.223
