Depth,Age,TRSH
0.309278351,52,28.20512821
5.257731959,227,28.84615385
9.587628866,372,28.20512821
14.84536082,548,31.41025641
19.48453608,706,42.94871795
24.43298969,871,44.23076923
29.3814433,1122,45.51282051
34.94845361,1954,21.79487179
39.89690722,2974,17.94871795
46.08247423,4196,19.23076923
51.03092784,5191,19.23076923
54.74226804,5959,17.30769231
59.69072165,6995,13.46153846
64.94845361,8077,12.17948718
69.89690722,8990,14.1025641
75.15463918,9683,10.8974359
79.48453608,10129,13.46153846
85.05154639,10710,7.692307692
89.3814433,11195,11.53846154
94.94845361,11779,10.25641026
99.89690722,12298,7.692307692
105.1546392,12862,10.8974359
110.4123711,13414,11.53846154
120,14410,7.051282051
