Depth,Age,TRSH
0.672175846,-4,51.31413947
4.495218448,71,73.20965973
8.31826105,136,66.54095872
10.0173911,168,65.98835704
12.42449199,205,58.57452472
14.40287721,241,63.20574505
16.36946291,271,69.52173313
18.33604861,302,65.14674734
20.20430503,338,60.51392526
22.17089073,369,53.82041502
24.23580571,404,58.20452185
25.80907427,426,53.95745311
27.5790014,444,54.73429896
30.13556281,477,54.99769686
32.39713637,508,54.6163928
34.26539279,548,68.40295944
36.52696634,904,62.09653733
38.29689347,1295,50.50791942
39.77183275,1595,46.64704896
41.83674773,2270,42.65870638
43.999992,3046,37.89774477
46.45822413,4182,28.62920857
47.83483412,4953,33.52698581
50.48972482,6233,29.4111711
52.25965195,6595,37.01478339
54.32456693,7044,25.29802596
56.29115263,7338,29.55310341
58.35606762,7632,18.35157364
60.22432403,8012,26.08421531
62.28923902,8801,21.58064507
64.15749544,9489,23.64578252
66.12408114,10349,20.17244513
67.89400827,11254,25.45753297
70.45056968,12437,15.28757083
72.41715538,12795,15.1632132
74.2854118,13135,11.68965334
75.95700964,13552,11.69343524
78.02192463,14263,13.75901762
79.98851033,14835,14.66511531
81.95509603,15813,12.60865397
83.92168173,16779,11.84026177
86.37991385,18433,9.398492018
87.85485313,19675,13.65245715
89.42812169,20948,12.11033361
91.88635382,22457,15.20726116
93.85293952,23596,16.11335885
95.72119593,24405,17.66326864
98.08109877,24926,15.73650408
99.94935519,25270,19.47613141
101.7192823,25650,17.9344528
103.685868,26077,13.4306601
105.750783,26463,18.71641533
108.4056737,26998,30.57265797
110.1756008,27360,11.89965978
112.2405158,27777,14.3516629
114.1087722,28193,16.15918652
115.9770287,28526,16.93625483
117.6486265,28821,13.33344313
120.2051879,29299,15.14252401
121.7784565,29715,13.60040047
124.1383593,30215,14.3785811
126.104945,30716,9.874788396
127.8748721,31247,14.38703475
130.0381164,31830,18.77136405
131.8080435,32482,11.56218122
134.1679464,33262,16.07576236
136.1345321,33839,19.68680524
137.8061299,34344,20.72104245
139.9693742,34998,19.56667444
142.0342892,35660,15.83594569
143.5092285,36141,17.90019328
145.8691313,36897,18.93598774
147.835717,37471,23.06225828
149.5073148,37997,22.16439177
152.0638763,38768,20.10926522
153.7354741,39297,29.90237259
155.7020598,39941,23.46647618
157.2753284,40380,20.76509041
159.6352312,41097,16.00457374
161.7984755,41644,19.87367538
163.5684026,42100,22.96904567
165.7316469,42634,19.10973247
167.9932204,43127,21.43337361
