"Depth","Age","Influx"
"6.585","9675","3.489781879"
"6.8","10569","1.901786942"
"7.01","11442","1.748682735"
"7.225","12334","1.254722628"
"7.39","13019","9.05982906"
"7.655","13370","18.28797616"
"7.82","13417","2.815135135"
"7.96","13454","27.555"
"8.05","13478","4.836"
"8.09","13488","4.396363636"
"8.13","13499","0.919431818"
"8.275","13543","9.833887143"
"8.315","13557","10.09714286"
"8.335","13564","1.001538462"
"8.37","13577","7.44"
"8.38","13580","1.062857143"
"8.4","13587","1.1449016"
"8.44","13600","28.90769231"
"8.48","13613","1.793571429"
"8.51","13627","3.0225"
"8.54","13639","7.55625"
"8.565","13647","0.31"
"8.715","13782","1.234655172"
"8.77","13869","0.053325433"
"8.86","14026","0.363913043"
"8.98","14210","0.591818182"
"9.12","14430","0.705164835"
"9.235","14612","0.298928571"
"9.28","14682","0.239202656"
