Depth,Age,Influx
0,-53,537347.7236
8,-9,320995.0523
16,30,898925.081
24,71,249577.2882
32,110,382519.104
40,150,295541.248
48,190,474886.9307
56,231,474886.9307
64,272,320909.5221
72,311,208646.784
76,331,817074.816
80,351,1286488.384
84,371,660631.424
88,391,823474.0547
92,410,799729.28
96,430,764954.816
100,450,641076
104,482,1010554.68
108,514,515954.3742
112,545,495196.8582
116,578,749746.2
120,610,685760.2133
124,646,634073.5247
128,680,501136.8659
132,714,377503.6709
136,749,1206731.294
140,783,1104502.513
144,817,874504.1067
148,850,1104502.513
152,884,726099.0494
156,918,923935.7074
160,953,1360172.574
164,987,583259.7884
168,1018,184713.28
172,1050,474121.4255
176,1083,916654.9721
180,1116,901884.48
184,1148,505759.8448
188,1181,213996.7015
196,1246,437458.2916
200,1277,730888.3331
204,1326,1139721.553
208,1380,767584.0242
212,1433,1110225.493
216,1490,405674.2827
220,1550,560178.0385
224,1604,2671879.68
228,1661,1648631.084
232,1719,279422.7657
236,1775,1156935.121
240,1830,521557.3943
244,1886,1320033.588
248,1940,651946.7429
252,1996,745077.7371
256,2052,695396.6222
260,2106,508210.0923
264,2158,1106354.083
268,2213,1918641.44
272,2269,1667716.456
276,2323,1165147.172
280,2380,1036686.104
284,2434,275539.7555
288,2487,429345.5249
296,2602,229626.9525
300,2655,701030.8129
304,2717,876249.7792
308,2767,851551.4514
312,2816,599251.3634
316,2863,49660.78694
320,2912,981769.1106
324,2963,1691735.015
328,3015,688589.0008
332,3066,1488213.632
336,3116,4445251.438
340,3167,2807468.895
344,3221,1872278.695
348,3273,978825.8635
352,3324,2490731.833
356,3373,1574898.798
360,3424,250117.4793
364,3481,472899.3536
368,3531,1124941.729
372,3582,611963.8528
376,3632,651155.0604
380,3687,1627025.123
384,3740,1296002.653
388,3795,768970.4615
396,3899,2086290.41
400,3946,858192.3949
