Depth,Age,Influx
1,-23,1162.8
3,-13,6707.2
5,-3,2978
7,6,2778.6
9,16,3667
11,26,8802.444444
13,35,3109.2
15,45,3832.666667
17,54,2433.555556
19,63,3935.4
21,73,1060.444444
23,82,1297.777778
25,91,247.1111111
27,100,315.7777778
29,109,103.75
31,117,238.8888889
33,126,103.25
35,134,211.25
37,142,146.25
39,150,222.5
41,158,177.1428571
43,165,516
45,173,402
47,180,366
49,187,6335
51,195,464.5714286
53,202,615.4285714
55,209,2349.666667
57,215,1389.142857
59,222,1037.428571
61,229,3460.285714
63,236,1789.666667
65,242,2076
67,249,1406
69,255,740.8571429
71,262,1958.857143
73,269,1742
75,275,580
77,282,1728.666667
79,288,3706.571429
81,295,4471.142857
83,302,9910.666667
85,308,12610
87,315,51855.42857
89,322,42668.57143
91,329,32643.14286
93,336,47658.57143
95,343,58315.14286
97,350,36672
99,358,14601.14286
101,365,19471
103,373,7082.5
105,381,11571.75
107,389,50572.5
109,397,34740.25
111,405,40091.11111
113,414,16066.5
115,422,23545.77778
117,431,16701.77778
119,440,53147.4
121,450,91687.5
126,474,123769.4231
131,500,23890.37037
136,527,17291.2069
141,556,9458.166667
146,586,22588.06452
151,617,66629.84848
156,650,16889.39394
161,683,109838.8571
166,718,11162.85714
171,753,24689.59459
176,790,51340.26316
186,866,21718.84615
191,905,10278.375
196,945,26740.125
201,985,125924.0244
206,1026,2092.261905
211,1068,34868.60465
216,1111,60457.02381
221,1153,6070.930233
226,1196,5748.522727
231,1240,4974.204545
236,1284,1560.909091
241,1328,1805.568182
246,1372,474.3333333
251,1417,657.7272727
256,1461,324.7727273
261,1505,1325.111111
266,1550,1548.636364
271,1594,600.5555556
276,1639,566.4772727
281,1683,483.8636364
286,1727,1131.363636
291,1771,484.3023256
296,1814,507.3863636
301,1858,2269.318182
306,1902,1246.25
311,1946,2088.837209
316,1989,6467.159091
321,2033,8131.511628
326,2076,4760.568182
331,2120,1297.906977
336,2163,1545.113636
341,2207,822.5
346,2251,11740.34884
351,2294,3790.227273
356,2338,7436.931818
361,2382,1905.454545
366,2426,793.0681818
371,2470,126.7045455
376,2514,54.77272727
381,2558,73.75
386,2602,16.55555556
391,2647,91.13636364
396,2691,60.34090909
