Depth,Age,Influx
1,143,961.2061206
3,244,5258.598485
5,332,4494.210423
7,445,9861.729592
9,557,6187.831776
11,664,8404.025063
13,778,5509.007937
15,890,4196.659649
17,1004,2452.214815
19,1124,2871.663866
21,1226,3536.400871
23,1328,2373.111111
25,1436,2647.068466
27,1523,5174.360825
29,1620,4583.535022
31,1742,6809.797101
33,1880,3550.608991
35,2011,4520.558282
37,2174,1799.89025
39,2331,4586.95302
41,2480,3386.239472
43,2653,2896
45,2830,1742.363158
47,3020,2322.423301
49,3226,1312.78487
51,3508,862.9494949
53,3850,1207.191304
55,4195,1787.814649
57,4641,2847.733333
59,5046,1787.097959
61,5438,529.047192
63,5884,1006.338033
65,6315,1344.571429
67,6728,539.2936105
69,7161,1569.616798
71,7542,2283.947977
73,7888,354.1956882
75,8290,526.8849518
77,8633,279.5549738
79,9015,165.1543772
81,9441,123.5342638
83,9923,157.6859591
85,10333,194.1636364
87,10773,201.7760983
89,11211,214.907369
91,11647,159.4832736
93,12079,154.5755965
95,12557,198.230528
97,13026,250.8489933
99,13473,182.5470085
101,13941,227.7526514
103,14434,198.459292
105,14886,154.1705556
107,15404,169.5319631
109,15914,263.0884658
111,16384,294.6456562
113,16886,256.4825328
115,17344,161.9734569
117,17849,131.1260749
119,18420,360.7987934
121,18875,381.3928571
123,19259,392.8958289
125,19684,324.4866213
127,19929,621.3236364
