"Depth","Age","TRSH"
0,-57,71.9676549865229
4,-27,67.9365079365079
8,3,74.1721854304636
12,33,71.8446601941748
16,63,63.9871382636656
20,93,73.6156351791531
24,123,64.9006622516556
28,173,73.421926910299
32,285,66.9934640522876
36,398,72.5239616613419
40,510,75.8957654723127
44,622,78.1758957654723
48,735,72.6384364820847
52,847,64.9180327868852
56,959,75.4838709677419
60,1071,76.6871165644172
64,1184,67.6567656765677
68,1296,76.3076923076923
72,1408,72.4025974025974
76,1521,73.8709677419355
80,1633,74.025974025974
